,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.77,1.64,3.10,2.62,1.47,1.96,1.56,1.12,,,1.96,2.04,1.77,1.35,1.24,1.13,1.20,1.19,1.09,0.97
Earnings per Share,0.071,0.044,0.008,0.094,-0.17,-0.014,0.006,0.023,,,0.024,0.004,0.001,-0.035,-0.033,0.010,0.081,0.035,0.018,-0.008
Revenue per Share,3.26,2.88,2.31,2.76,2.03,1.79,1.95,3.02,,,0.50,0.48,0.59,0.43,0.56,0.83,1.20,1.00,0.76,0.78
Dividend per Share,0.071,0.050,,0.050,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.038,0.18,0.022,0.21,0.016,0.011,0.057,0.075,,,0.003,0.015,0.039,0.001,0.011,0.019,0.045,0.006,0.011,0.008
Book Value per Share,1.31,1.28,1.24,1.33,1.11,1.10,1.10,1.23,,,1.10,1.10,1.10,1.07,1.04,1.06,1.23,1.26,1.28,1.27
Price to Earnings Ratio,22.4,39.1,206.5,36.3,,,294.4,50.8,,,23.4,32.9,294.4,,,,50.8,11.7,6.73,7.56
Price to Book Value Ratio,1.20,1.30,1.22,2.21,1.19,1.31,1.27,0.91,,,2.18,1.34,1.27,0.95,1.13,0.84,0.91,0.90,0.78,0.68
EV to EBITDA,6.91,10.1,8.94,16.9,-23.7,13.3,14.7,10.4,,,5.91,11.7,14.7,14.4,26.7,26.1,10.4,7.82,6.06,5.64
Dividend Payout Ratio,99.5%,114.4%,,53.1%,,,,,,,,,,,,,,,,
Common Shares Outstanding,637.1,637.1,637.1,637.1,637.1,637.1,637.1,637.1,,,637.1,637.1,637.1,637.1,637.1,637.1,637.1,637.1,637.1,637.1
Total Revenue,"2,078","1,838","1,469","1,758","1,296","1,143","1,245","1,925",,,317.7,303.5,375.0,271.9,358.5,527.8,766.9,636.8,487.2,494.0
"Cost of Revenue, Total","1,864","1,641","1,323","1,558","1,245","1,022","1,109","1,752",,,277.8,271.6,330.9,258.8,337.8,487.4,668.2,578.3,445.0,469.7
Gross Profit,213.7,196.9,146.4,200.3,50.6,120.7,135.5,172.9,,,39.9,31.9,44.1,13.1,20.8,40.4,98.7,58.5,42.2,24.3
"Selling/General/Administrative Expenses, Total",161.2,165.7,141.4,138.4,155.5,132.4,135.5,143.7,,,26.9,32.6,41.9,31.6,36.7,35.1,40.2,40.0,32.3,32.6
Operating Income,52.4,31.2,4.95,61.9,-105.0,-11.8,0.050,29.2,,,13.1,-0.68,2.20,-18.5,-16.0,5.29,58.5,18.5,9.85,-8.32
Net Income,45.5,27.8,4.78,59.9,-109.7,-8.72,3.55,14.7,,,15.1,2.84,0.44,-22.4,-20.9,6.58,51.4,22.4,11.4,-5.19
EBITDA,106.8,92.4,65.6,125.0,-34.1,56.2,61.0,87.8,,,28.1,13.9,17.9,-3.61,-1.51,20.2,72.8,33.1,24.5,6.15
Gross Profit Margin,10.3%,10.7%,10.0%,11.4%,3.9%,10.6%,10.9%,9.0%,,,12.6%,10.5%,11.8%,4.8%,5.8%,7.7%,12.9%,9.2%,8.7%,4.9%
Operating Margin,2.5%,1.7%,0.3%,3.5%,-8.1%,-1.0%,0.0%,1.5%,,,4.1%,-0.2%,0.6%,-6.8%,-4.5%,1.0%,7.6%,2.9%,2.0%,-1.7%
Net Profit Margin,2.2%,1.5%,0.3%,3.4%,-8.5%,-0.8%,0.3%,0.8%,,,4.7%,0.9%,0.1%,-8.2%,-5.8%,1.2%,6.7%,3.5%,2.3%,-1.1%
Return on Assets,3.3%,2.3%,0.4%,4.8%,-9.8%,-0.9%,0.4%,1.1%,,,5.7%,2.9%,0.4%,-0.4%,-3.8%,-2.8%,0.9%,3.5%,5.7%,5.2%
Return on Equity,5.5%,3.4%,0.6%,7.1%,-15.5%,-1.2%,0.5%,1.9%,,,2.2%,0.4%,0.1%,-3.3%,-3.2%,1.0%,6.6%,2.8%,1.4%,-0.6%
Return on Total Capital,5.1%,3.4%,0.6%,6.7%,-14.6%,-1.2%,0.5%,1.9%,,,8.0%,4.2%,0.5%,-0.6%,-6.0%,-5.3%,1.9%,7.4%,11.3%,9.9%
SG&A to Sale,7.8%,9.0%,9.6%,7.9%,12.0%,11.6%,10.9%,7.5%,,,8.5%,10.7%,11.2%,11.6%,10.2%,6.7%,5.2%,6.3%,6.6%,6.6%
Depreciation & Amortisation,54.4,61.1,60.6,63.1,70.8,68.0,60.9,58.6,,,15.0,14.6,15.7,14.9,14.5,14.9,14.3,14.6,14.6,14.5
Tax Rate,0.6%,8.4%,2.5%,2.3%,-2.7%,35.0%,17.8%,7.8%,,,-1.1%,-158.8%,86.0%,-10.9%,2.1%,0.5%,-1.1%,-34.2%,-32.2%,1.2%
Current Ratio,2.32,2.01,1.91,2.21,2.81,2.50,2.64,1.41,,,2.59,2.51,2.64,2.28,1.83,1.42,1.41,1.55,1.63,1.75
Quick Ratio,0.87,0.66,0.88,1.02,1.18,1.07,0.97,0.70,,,1.03,0.89,0.97,0.86,0.65,0.60,0.70,0.81,0.73,0.75
Days Inventory Outstanding,68.9,57.6,67.5,62.0,62.6,48.6,60.5,79.8,,,68.6,79.5,79.5,83.6,104.7,121.8,113.1,90.9,85.5,88.2
Days Sale Outstanding,52.5,43.2,84.7,69.3,55.4,79.3,64.7,120.7,,,69.8,64.4,64.7,62.1,68.7,104.5,120.7,97.7,75.9,66.9
Days Payable Outstanding,50.0,51.8,62.5,48.9,47.0,53.2,53.8,63.9,,,62.9,57.8,50.0,53.1,73.1,96.3,95.6,76.0,60.8,53.0
