,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,24.1,22.6,23.3,25.6,33.6,35.6,32.8,28.0,,,30.3,31.6,35.6,32.8,30.4,28.9,29.0,28.1,27.9,27.1
Earnings per Share,0.92,2.26,1.19,2.08,2.35,3.41,1.64,2.31,,,0.26,0.42,0.63,0.69,0.72,0.57,0.33,0.44,0.35,0.47
Revenue per Share,30.3,33.9,31.9,31.7,32.6,35.0,30.6,31.1,,,7.72,7.63,7.68,7.87,7.25,7.92,7.82,7.41,7.33,7.16
Dividend per Share,0.90,1.80,1.00,1.75,1.90,2.75,1.43,1.90,,,0.58,0.00,0.85,0.00,1.10,0.00,0.80,0.00,0.70,0.00
Capital Expenditures per Share,0.31,0.44,0.16,0.11,0.19,0.74,0.63,0.54,,,0.11,0.17,0.30,0.23,0.098,0.100,0.12,0.13,0.14,0.27
Book Value per Share,7.28,8.43,8.32,8.83,9.32,10.6,10.1,10.5,,,9.65,9.49,10.1,10.8,10.7,10.2,10.5,10.9,10.5,10.2
Price to Earnings Ratio,21.6,11.1,18.9,11.0,10.2,11.3,19.2,12.4,,,11.8,19.8,19.2,15.4,12.0,10.5,12.4,12.7,15.5,16.2
Price to Book Value Ratio,2.75,2.82,2.73,2.45,2.51,3.17,3.38,2.55,,,2.98,3.13,3.38,2.45,2.71,2.61,2.55,2.57,2.48,2.69
EV to EBITDA,14.3,10.4,10.4,8.91,7.62,9.02,15.3,9.31,,,9.65,12.7,15.3,12.5,9.07,8.45,9.31,8.83,11.5,10.2
Dividend Payout Ratio,97.8%,79.7%,84.3%,84.3%,80.8%,80.7%,87.2%,82.3%,,,23.9%,0.0%,51.7%,0.0%,44.6%,0.0%,34.6%,0.0%,41.4%,0.0%
Common Shares Outstanding,776.8,808.6,808.6,808.6,808.6,808.6,808.6,808.6,,,808.6,808.6,808.6,808.6,808.6,808.6,808.6,808.6,808.6,808.6
Total Revenue,"23,510","27,406","25,830","25,667","26,345","28,309","24,729","25,186",,,"6,242","6,172","6,209","6,365","5,866","6,403","6,324","5,992","5,925","5,788"
"Cost of Revenue, Total","21,979","24,599","23,718","22,784","23,137","23,714","21,964","21,787",,,"5,722","5,479","5,295","5,553","5,052","5,695","5,685","5,388","5,409","5,196"
Gross Profit,"1,531","2,807","2,112","2,883","3,208","4,595","2,765","3,399",,,520.0,693.7,913.9,812.1,813.7,707.2,639.3,603.2,515.5,592.0
"Selling/General/Administrative Expenses, Total",620.1,718.9,598.9,959.4,"1,227","1,334","1,257","1,232",,,326.6,301.9,324.0,193.6,181.2,180.2,319.0,184.1,205.1,190.0
Operating Income,911.0,"2,088","1,513","1,923","1,980","3,261","1,508","2,167",,,193.4,391.8,589.9,618.5,632.5,527.0,320.3,419.2,310.4,402.0
Net Income,725.3,"1,809",959.1,"1,679","1,903","2,755","1,327","1,867",,,207.9,342.7,513.0,557.8,582.1,456.9,270.6,357.6,280.4,376.7
EBITDA,"1,234","2,417","1,836","2,268","2,319","3,589","1,852","2,500",,,273.9,471.7,688.8,706.2,706.6,609.8,408.2,505.8,404.2,496.6
Gross Profit Margin,6.5%,10.2%,8.2%,11.2%,12.2%,16.2%,11.2%,13.5%,,,8.3%,11.2%,14.7%,12.8%,13.9%,11.0%,10.1%,10.1%,8.7%,10.2%
Operating Margin,3.9%,7.6%,5.9%,7.5%,7.5%,11.5%,6.1%,8.6%,,,3.1%,6.3%,9.5%,9.7%,10.8%,8.2%,5.1%,7.0%,5.2%,6.9%
Net Profit Margin,3.1%,6.6%,3.7%,6.5%,7.2%,9.7%,5.4%,7.4%,,,3.3%,5.6%,8.3%,8.8%,9.9%,7.1%,4.3%,6.0%,4.7%,6.5%
Return on Assets,7.0%,16.2%,8.3%,15.8%,18.4%,25.6%,11.7%,16.5%,,,15.5%,10.8%,11.4%,13.6%,16.1%,16.3%,15.2%,14.4%,11.8%,11.5%
Return on Equity,12.8%,26.5%,14.3%,23.5%,25.2%,32.2%,16.2%,22.1%,,,2.7%,4.5%,6.3%,6.4%,6.7%,5.6%,3.2%,4.1%,3.3%,4.6%
Return on Total Capital,12.6%,26.4%,14.1%,23.4%,25.2%,32.2%,16.2%,22.1%,,,25.1%,16.2%,16.2%,18.5%,23.1%,25.7%,22.1%,18.9%,16.1%,15.5%
SG&A to Sale,2.6%,2.6%,2.3%,3.7%,4.7%,4.7%,5.1%,4.9%,,,5.2%,4.9%,5.2%,3.0%,3.1%,2.8%,5.0%,3.1%,3.5%,3.3%
Depreciation & Amortisation,322.5,329.1,323.0,344.7,338.8,328.6,344.2,332.6,,,80.5,79.9,98.9,87.8,74.1,82.8,87.9,86.7,93.8,94.6
Tax Rate,22.5%,12.8%,11.4%,11.7%,13.2%,14.2%,12.8%,17.3%,,,11.8%,12.1%,13.2%,13.1%,17.8%,19.4%,20.5%,19.9%,18.4%,18.9%
Current Ratio,1.70,1.81,2.08,2.85,3.29,4.10,2.99,3.91,,,2.81,2.54,2.99,3.12,2.84,2.21,3.91,3.33,3.88,3.26
Quick Ratio,0.35,0.33,0.46,0.46,0.99,1.12,0.65,1.20,,,0.61,0.69,0.65,1.21,1.00,0.73,1.20,1.34,1.49,1.48
Days Inventory Outstanding,94.2,96.4,103.0,98.5,90.8,85.5,103.2,100.7,,,106.3,102.6,107.3,99.9,97.2,108.0,101.3,88.3,81.5,75.2
Days Sale Outstanding,23.4,21.6,25.1,17.9,20.6,18.9,20.7,17.1,,,17.4,17.3,20.7,23.2,22.8,21.0,17.2,20.8,22.4,20.2
Days Payable Outstanding,20.2,9.70,3.75,4.16,16.2,24.3,19.8,18.1,,,32.8,24.6,26.0,25.7,27.4,27.1,25.3,24.7,23.8,23.3
Cash Conversion Cycle,97.4,115.1,121.8,117.2,80.2,85.0,106.1,101.8,,,107.9,88.2,108.3,88.8,99.7,96.0,102.9,75.7,86.9,66.9
Debt to Asset Ratio,0.44,0.42,0.37,0.28,0.24,0.20,0.26,0.20,,,0.28,0.31,0.26,0.25,0.28,0.36,0.20,0.24,0.20,0.24
Debt to Equity Ratio,0.80,0.75,0.60,0.40,0.33,0.25,0.37,0.26,,,0.42,0.48,0.37,0.35,0.40,0.59,0.26,0.33,0.27,0.32
