,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,35.8,47.5,41.1,32.0,28.9,29.8,29.3,22.0,,,31.3,29.3,31.5,31.8,28.3,27.6,23.5,24.4,22.4,19.4
Earnings per Share,2.31,3.49,2.94,1.90,1.13,1.34,1.17,-1.12,,,1.04,0.21,-0.13,0.98,-0.80,-0.58,-0.72,1.05,-1.44,-0.38
Revenue per Share,31.3,41.2,36.5,29.8,30.0,27.2,27.0,26.0,,,6.41,7.24,6.43,6.32,6.46,6.79,6.47,7.10,6.16,7.37
Dividend per Share,2.20,3.65,2.85,1.87,1.11,1.34,1.21,,,,,,1.21,,,,,,,
Capital Expenditures per Share,1.15,1.85,1.90,1.60,1.20,0.56,1.22,1.04,,,0.39,0.092,0.75,0.10,0.77,0.065,0.11,0.11,0.072,0.27
Book Value per Share,23.0,24.8,24.0,23.1,22.1,22.4,22.2,20.0,,,22.1,22.3,22.2,23.3,21.3,20.7,20.0,21.1,19.6,19.2
Price to Earnings Ratio,12.1,13.5,14.0,18.2,22.1,19.9,23.1,,,,19.3,17.7,23.1,14.1,98.3,,,,,
Price to Book Value Ratio,1.33,2.14,1.70,1.45,1.07,1.13,1.31,1.18,,,1.24,1.22,1.31,1.25,1.22,1.18,1.18,1.05,0.92,0.73
EV to EBITDA,9.19,7.61,9.92,13.7,13.0,9.60,21.7,-10.9,,,11.2,11.5,21.7,84.0,-85.2,-18.0,-10.9,-9.98,-7.11,-5.12
Dividend Payout Ratio,95.2%,104.7%,97.1%,98.6%,97.9%,99.9%,103.7%,,,,,,103.7%,,,,,,,
Common Shares Outstanding,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Total Revenue,782.7,"1,030",911.6,745.0,749.8,680.2,674.5,650.9,,,160.2,180.9,160.8,158.0,161.5,169.8,161.7,177.5,153.9,184.2
"Cost of Revenue, Total",706.2,886.1,792.7,667.7,691.2,621.9,619.8,650.8,,,150.7,160.8,151.2,153.2,162.7,170.5,164.4,172.7,169.0,179.1
Gross Profit,76.5,143.5,118.9,77.2,58.6,58.3,54.7,0.19,,,9.50,20.1,9.60,4.85,-1.23,-0.75,-2.68,4.71,-15.1,5.09
"Selling/General/Administrative Expenses, Total",76.3,90.3,91.6,78.2,77.0,71.6,75.3,74.5,,,18.8,19.1,18.5,19.2,18.3,18.4,18.5,18.8,21.7,18.2
Operating Income,8.51,65.6,39.6,5.65,-12.0,-7.24,-16.4,-70.6,,,-9.28,1.01,-4.70,-14.4,-19.5,-19.2,-17.5,-14.1,-36.8,-13.1
Net Income,57.7,87.2,73.4,47.4,28.3,33.5,29.2,-28.0,,,26.0,5.31,-3.29,24.6,-20.0,-14.6,-18.1,26.4,-35.9,-9.57
EBITDA,64.6,121.2,93.5,55.4,37.0,41.4,23.1,-29.6,,,1.51,10.0,3.29,-5.41,-8.87,-8.58,-6.29,-2.49,-28.1,-3.84
Gross Profit Margin,9.8%,13.9%,13.0%,10.4%,7.8%,8.6%,8.1%,0.0%,,,5.9%,11.1%,6.0%,3.1%,-0.8%,-0.4%,-1.7%,2.7%,-9.8%,2.8%
Operating Margin,1.1%,6.4%,4.3%,0.8%,-1.6%,-1.1%,-2.4%,-10.8%,,,-5.8%,0.6%,-2.9%,-9.1%,-12.1%,-11.3%,-10.8%,-7.9%,-23.9%,-7.1%
Net Profit Margin,7.4%,8.5%,8.1%,6.4%,3.8%,4.9%,4.3%,-4.3%,,,16.2%,2.9%,-2.0%,15.6%,-12.4%,-8.6%,-11.2%,14.9%,-23.3%,-5.2%
Return on Assets,7.9%,11.3%,9.3%,6.3%,3.9%,4.8%,4.2%,-4.1%,,,5.2%,5.6%,4.1%,7.3%,0.9%,-1.9%,-4.2%,-3.9%,-6.2%,-5.7%
Return on Equity,10.0%,14.1%,12.2%,8.2%,5.1%,6.0%,5.3%,-5.6%,,,4.7%,1.0%,-0.6%,4.2%,-3.8%,-2.8%,-3.6%,5.0%,-7.3%,-2.0%
Return on Total Capital,10.0%,14.1%,12.2%,8.2%,5.1%,6.0%,5.3%,-5.6%,,,6.6%,7.1%,5.3%,9.0%,1.2%,-2.6%,-5.6%,-5.0%,-8.6%,-7.7%
SG&A to Sale,9.8%,8.8%,10.0%,10.5%,10.3%,10.5%,11.2%,11.4%,,,11.7%,10.6%,11.5%,12.2%,11.3%,10.9%,11.5%,10.6%,14.1%,9.9%
Depreciation & Amortisation,56.1,55.6,54.0,49.7,49.0,48.7,39.6,41.0,,,10.8,9.02,7.99,8.98,10.7,10.6,11.2,11.6,8.74,9.27
