,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,10.2,12.8,10.9,9.40,7.50,8.10,7.45,5.68,,,8.10,8.65,8.85,8.30,7.40,6.25,5.68,5.85,5.68,5.45
Earnings per Share,1.36,1.05,0.78,0.68,0.40,0.37,0.66,0.32,,,0.16,0.15,0.25,0.16,0.12,-0.010,0.054,0.038,0.26,0.000
Revenue per Share,8.24,6.78,6.07,6.07,4.24,4.11,6.34,6.08,,,1.53,1.81,1.91,1.88,1.58,1.33,1.30,0.88,1.90,1.21
Dividend per Share,0.95,0.70,0.55,0.50,0.40,0.40,0.50,0.40,,,0.17,0.00,0.33,,0.17,0.00,0.23,,0.17,0.00
Capital Expenditures per Share,0.18,0.18,0.25,0.32,0.26,0.19,0.46,0.39,,,0.078,0.17,0.14,0.075,0.080,0.16,0.074,0.069,0.072,0.13
Book Value per Share,2.88,3.28,3.36,3.49,3.42,3.43,3.69,3.52,,,3.46,3.44,3.69,3.86,3.65,3.47,3.52,3.56,3.58,3.41
Price to Earnings Ratio,7.73,10.1,14.4,16.0,17.0,19.2,13.7,17.6,,,16.3,15.9,13.7,11.0,9.76,10.4,17.6,27.4,15.9,15.1
Price to Book Value Ratio,3.50,3.36,3.19,2.95,2.09,2.07,2.35,1.59,,,2.05,2.40,2.35,1.88,1.89,1.56,1.59,1.64,1.49,1.57
EV to EBITDA,4.06,6.53,8.92,10.6,8.71,12.7,7.69,7.98,,,10.5,11.2,7.69,6.66,6.80,7.53,7.98,11.7,7.68,7.72
Dividend Payout Ratio,69.6%,66.7%,70.6%,73.9%,100.5%,109.1%,75.2%,123.8%,,,39.2%,0.0%,49.7%,,24.8%,0.0%,71.2%,,50.4%,0.0%
Common Shares Outstanding,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,,,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0
Total Revenue,"7,749","6,376","5,710","5,701","3,988","3,866","5,964","5,718",,,"1,438","1,700","1,796","1,766","1,484","1,247","1,220",828.0,"1,788","1,133"
"Cost of Revenue, Total","5,991","5,160","4,689","4,838","3,369","3,290","4,904","5,003",,,"1,181","1,448","1,409","1,483","1,280","1,164","1,076",709.7,"1,385","1,040"
Gross Profit,"1,759","1,216","1,021",863.3,619.2,575.7,"1,060",715.4,,,257.3,251.9,387.2,283.5,204.6,83.1,144.1,118.3,402.5,92.5
"Selling/General/Administrative Expenses, Total",222.3,233.9,237.9,248.0,233.4,209.5,312.7,354.5,,,77.7,83.0,92.3,99.1,75.2,84.6,95.6,73.7,112.0,93.1
Operating Income,"1,536",982.2,782.9,615.3,385.7,366.2,747.2,360.9,,,179.6,168.9,294.9,184.5,129.4,-1.51,48.5,44.6,290.6,-0.57
Net Income,"1,282",986.6,732.6,636.4,374.3,344.6,624.7,303.8,,,145.8,143.1,239.4,152.4,110.4,-9.77,50.8,35.7,240.1,0.44
EBITDA,"1,684","1,158",964.0,772.8,544.1,497.5,898.9,557.0,,,217.3,209.7,336.5,231.7,179.2,45.9,100.2,93.4,341.7,51.1
Gross Profit Margin,22.7%,19.1%,17.9%,15.1%,15.5%,14.9%,17.8%,12.5%,,,17.9%,14.8%,21.6%,16.1%,13.8%,6.7%,11.8%,14.3%,22.5%,8.2%
Operating Margin,19.8%,15.4%,13.7%,10.8%,9.7%,9.5%,12.5%,6.3%,,,12.5%,9.9%,16.4%,10.4%,8.7%,-0.1%,4.0%,5.4%,16.3%,-0.1%
Net Profit Margin,16.5%,15.5%,12.8%,11.2%,9.4%,8.9%,10.5%,5.3%,,,10.1%,8.4%,13.3%,8.6%,7.4%,-0.8%,4.2%,4.3%,13.4%,0.0%
Return on Assets,47.0%,30.0%,20.9%,17.1%,9.8%,9.1%,15.9%,7.7%,,,10.7%,12.0%,15.8%,16.3%,15.7%,12.6%,8.0%,4.9%,8.1%,8.5%
Return on Equity,47.3%,32.0%,23.2%,19.4%,11.6%,10.7%,18.0%,9.2%,,,4.5%,4.4%,6.9%,4.2%,3.2%,-0.3%,1.5%,1.1%,7.1%,0.0%
Return on Total Capital,47.3%,32.0%,23.2%,18.5%,11.1%,10.3%,17.4%,8.9%,,,12.1%,13.5%,17.4%,18.3%,18.3%,14.7%,8.9%,5.5%,9.2%,10.0%
SG&A to Sale,2.9%,3.7%,4.2%,4.3%,5.9%,5.4%,5.2%,6.2%,,,5.4%,4.9%,5.1%,5.6%,5.1%,6.8%,7.8%,8.9%,6.3%,8.2%
Depreciation & Amortisation,147.6,176.0,181.0,157.5,158.4,131.3,151.7,196.1,,,37.7,40.8,41.6,47.2,49.8,47.5,51.7,48.9,51.1,51.7
Tax Rate,17.9%,12.3%,12.5%,17.0%,15.4%,14.8%,16.5%,18.3%,,,19.3%,13.9%,17.9%,17.2%,17.5%,1567.6%,12.4%,19.4%,17.3%,167.2%
Current Ratio,6.44,8.40,9.11,10.8,10.4,15.2,6.20,9.30,,,9.54,8.91,6.20,7.52,7.49,6.78,9.30,7.89,6.06,6.81
Quick Ratio,2.32,3.34,4.85,6.63,6.91,10.3,0.87,2.45,,,3.46,3.40,0.87,0.95,1.48,1.60,2.45,1.30,1.47,1.14
Days Inventory Outstanding,15.6,26.5,21.6,16.7,23.3,23.7,32.5,36.1,,,53.5,48.9,42.0,43.1,36.0,32.5,30.0,43.2,45.2,31.1
Days Sale Outstanding,5.54,20.9,22.4,4.80,11.0,12.9,15.2,13.9,,,31.8,26.6,15.2,8.90,13.7,14.3,13.9,7.59,24.6,14.1
Days Payable Outstanding,1.04,1.42,3.22,2.57,6.71,7.34,5.43,5.41,,,4.15,4.28,6.29,5.34,3.44,4.17,3.73,4.60,5.84,5.07
Cash Conversion Cycle,22.0,37.4,41.1,28.3,21.6,32.0,35.9,48.3,,,75.8,71.0,52.2,51.0,43.6,42.5,42.1,49.3,55.3,46.6
Debt to Asset Ratio,0.13,0.10,0.11,0.14,0.14,0.12,0.14,0.11,,,0.13,0.13,0.14,0.13,0.13,0.13,0.11,0.12,0.13,0.12
Debt to Equity Ratio,0.15,0.12,0.12,0.16,0.16,0.14,0.17,0.13,,,0.15,0.15,0.17,0.15,0.15,0.15,0.13,0.13,0.15,0.14
Interest Coverage Ratio,,,,286.7,39.9,41.5,85.4,143.6,,,80.7,68.5,149.5,80.7,178.7,,,22.0,152.8,
Cash and Short Term Investments,"1,429","1,552","1,674","2,107","1,924","1,768",826.8,690.4,,,602.5,645.6,826.8,995.5,840.9,526.3,690.4,511.3,616.8,590.9
"Total Receivables, Net",117.5,364.9,350.4,74.9,120.0,136.4,248.1,218.5,,,371.0,355.7,248.1,163.4,253.2,245.7,218.5,99.4,342.4,192.4
Total Inventory,418.1,330.4,224.1,217.7,211.8,215.5,656.8,332.3,,,628.7,472.0,656.8,647.0,461.9,489.1,332.3,668.0,405.6,312.9
Total Current Assets,"1,968","2,250","2,257","2,426","2,280","2,149","1,765","1,287",,,"1,632","1,508","1,765","1,839","1,590","1,297","1,287","1,335","1,408","1,151"
"Property/Plant/Equipment, Total - Net","1,152","1,137","1,238","1,349","1,426","1,472","2,263","2,420",,,"2,043","2,138","2,263","2,276","2,293","2,398","2,420","2,420","2,421","2,511"
Total Assets,"3,128","3,440","3,568","3,858","3,810","3,723","4,127","3,799",,,"3,792","3,779","4,127","4,215","3,990","3,799","3,799","3,858","3,948","3,763"
Accounts Payable,,40.3,42.5,25.7,98.1,34.2,111.8,36.5,,,39.1,57.3,111.8,49.8,56.0,65.8,36.5,70.1,68.8,48.1
Accrued Expenses,59.1,93.1,58.1,69.3,29.8,27.2,44.3,34.2,,,41.9,48.0,44.3,53.4,44.0,50.8,34.2,34.5,56.9,52.2
Debt Due,0.00,0.00,0.00,11.1,16.2,16.0,19.2,17.7,,,14.9,10.3,19.2,17.7,18.6,18.6,17.7,17.7,18.0,18.1
Total Current Liabilities,305.4,267.9,247.8,224.0,220.0,141.7,284.4,138.3,,,171.0,169.2,284.4,244.7,212.3,191.2,138.3,169.1,232.4,169.0
Long Term Debt,,,,161.2,151.8,127.1,111.4,88.0,,,127.9,124.8,111.4,97.5,96.8,90.8,88.0,82.1,77.8,72.7
Total Liabilities,417.6,358.4,382.8,523.6,525.3,439.7,597.8,424.4,,,489.3,491.4,597.8,532.5,502.8,479.3,424.4,446.3,508.7,443.5
Common Stock,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,,,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0
Additional Paid-In Capital,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,,,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5
Retained Earnings (Accumulated Deficit),"1,973","2,344","2,419","2,545","2,477","2,485","2,730","2,564",,,"2,507","2,490","2,730","2,882","2,682","2,513","2,564","2,599","2,623","2,464"
Shareholders' Equity,"2,711","3,082","3,157","3,282","3,214","3,224","3,473","3,309",,,"3,249","3,234","3,473","3,629","3,429","3,259","3,309","3,346","3,369","3,210"
Cash from Operating Activities,"1,297",897.0,941.0,"1,028",482.5,390.3,375.3,710.5,,,-137.0,364.0,319.9,248.1,-47.5,277.0,232.9,-109.9,393.1,220.2
Cash from Investing Activities,-593.2,-56.0,-509.0,-806.5,-193.7,-65.3,386.0,-476.6,,,-93.0,-154.6,88.3,-137.8,-66.2,-147.7,-124.9,-62.5,54.6,-121.1
Cash from Financing Activities,-658.0,-658.0,-629.3,-347.7,-461.4,-402.7,-384.8,-489.0,,,-204.7,-166.9,-6.72,-6.63,-315.5,-165.1,-1.74,-6.33,-222.2,-125.1
Net Change in Cash,45.7,183.0,-198.6,-126.6,-173.3,-75.9,378.9,-256.3,,,-433.1,43.2,401.2,98.8,-424.3,-34.9,104.1,-179.2,225.5,-25.8
Free Cashflows,"1,128",730.2,706.5,729.6,237.2,213.0,-53.4,346.3,,,-210.3,207.2,185.6,177.2,-122.5,128.0,163.6,-175.2,325.3,98.0
Free Cashflow per Share,1.20,0.78,0.75,0.78,0.25,0.23,-0.057,0.37,,,-0.22,0.22,0.20,0.19,-0.13,0.14,0.17,-0.19,0.35,0.10
