,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.77,1.16,1.18,0.94,0.77,0.64,0.63,0.54,,,0.65,0.57,0.54,0.62,0.66,0.67,0.63,0.58,0.52,0.45
Earnings per Share,-0.020,0.069,-0.014,-0.008,-0.017,0.016,-0.013,0.011,,,-0.006,-0.012,-0.005,-0.001,0.017,0.002,-0.007,-0.003,-0.019,0.003
Revenue per Share,0.086,0.11,0.090,0.099,0.11,0.15,0.16,0.17,,,0.050,0.030,0.024,0.025,0.036,0.043,0.065,0.047,0.055,0.057
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.002,0.001,0.034,0.048,0.14,0.038,0.028,0.053,,,0.008,0.005,0.013,0.013,0.011,0.020,0.009,0.005,0.005,0.003
Book Value per Share,0.27,0.32,0.33,0.33,0.41,0.43,0.54,0.55,,,0.56,0.55,0.54,0.54,0.55,0.56,0.55,0.55,0.53,0.52
Price to Earnings Ratio,,14.2,,,,38.0,,54.8,,,28.9,574.7,,,,53.8,54.7,61.1,,
Price to Book Value Ratio,1.41,3.90,2.28,3.04,1.44,1.34,1.00,1.07,,,1.07,0.92,1.00,1.12,1.23,0.97,1.07,0.99,0.91,0.76
EV to EBITDA,45.4,30.0,52.2,71.4,57.8,21.0,88.1,-75.4,,,21.5,37.5,88.1,-84.6,-33.3,-55.8,-75.4,114.2,27.6,20.6
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,490.5,490.5,496.5,496.5,510.1,510.1,561.1,561.1,,,557.9,561.1,561.1,561.1,561.1,561.1,561.1,561.1,561.1,561.1
Total Revenue,42.4,52.2,44.6,49.2,57.3,78.0,88.3,95.4,,,28.1,16.7,13.3,14.1,20.3,24.3,36.7,26.1,30.6,31.8
"Cost of Revenue, Total",7.63,15.0,14.2,15.5,21.3,30.5,46.8,48.9,,,15.2,8.01,5.75,6.32,9.40,8.85,24.3,11.8,14.9,15.9
Gross Profit,34.8,37.2,30.4,33.7,35.9,47.5,41.4,46.5,,,12.9,8.67,7.56,7.75,10.9,15.5,12.4,14.3,15.8,16.0
"Selling/General/Administrative Expenses, Total",38.2,27.6,33.8,36.9,43.2,37.0,39.8,60.5,,,13.8,13.7,2.38,13.7,19.6,14.7,8.71,11.2,14.7,11.1
Operating Income,-5.46,9.63,-3.37,-3.17,-7.25,10.5,-7.24,-19.0,,,-0.88,-5.00,-3.72,-6.69,-10.2,-0.70,-1.37,2.43,0.42,4.24
Net Income,-7.98,33.8,-6.83,-4.19,-8.70,8.08,-7.15,5.94,,,-2.69,-6.49,-2.97,-0.68,9.53,0.91,-3.81,-1.68,-10.5,1.96
EBITDA,6.39,21.2,8.76,9.83,7.61,20.1,3.66,-6.04,,,2.38,-2.21,-0.77,-3.85,-7.24,2.72,2.28,6.28,4.52,8.35
Gross Profit Margin,82.0%,71.3%,68.2%,68.5%,62.8%,60.9%,46.9%,48.8%,,,45.9%,52.0%,56.8%,55.1%,53.8%,63.6%,33.7%,54.8%,51.4%,50.1%
Operating Margin,-12.9%,18.4%,-7.6%,-6.4%,-12.7%,13.4%,-8.2%,-19.9%,,,-3.2%,-30.0%,-27.9%,-47.6%,-50.3%,-2.9%,-3.7%,9.3%,1.4%,13.3%
Net Profit Margin,-18.8%,64.7%,-15.3%,-8.5%,-15.2%,10.4%,-8.1%,6.2%,,,-9.6%,-38.9%,-22.3%,-4.8%,46.9%,3.7%,-10.4%,-6.4%,-34.4%,6.2%
Return on Assets,-2.4%,9.1%,-1.7%,-1.1%,-1.9%,1.5%,-1.2%,0.9%,,,1.7%,0.0%,-1.2%,-2.1%,-0.1%,1.0%,0.9%,0.7%,-2.2%,-2.0%
Return on Equity,-6.1%,21.5%,-4.1%,-2.6%,-4.2%,3.7%,-2.4%,1.9%,,,-0.9%,-2.1%,-1.0%,-0.2%,3.1%,0.3%,-1.2%,-0.5%,-3.6%,0.7%
Return on Total Capital,-3.1%,11.7%,-2.4%,-1.6%,-3.0%,3.0%,-2.4%,1.4%,,,3.0%,0.1%,-2.4%,-4.2%,-0.1%,1.5%,1.4%,1.1%,-3.6%,-3.4%
SG&A to Sale,90.2%,52.8%,75.8%,75.0%,75.4%,47.5%,45.1%,63.4%,,,49.1%,81.9%,17.9%,97.4%,96.4%,60.4%,23.8%,42.8%,47.9%,34.7%
Depreciation & Amortisation,11.8,11.6,12.1,13.0,14.9,9.66,10.9,12.9,,,3.26,2.79,2.91,2.85,2.99,3.42,3.64,3.84,4.09,4.10
Tax Rate,-4.9%,0.0%,-1.0%,0.0%,-17.1%,40.3%,-233.4%,54.9%,,,-96.5%,-16.0%,-5.4%,240.3%,31.0%,69.4%,-21.6%,-22.4%,2.0%,1.4%
Current Ratio,0.34,0.93,0.44,0.27,0.27,0.22,0.17,0.73,,,0.41,0.31,0.17,0.19,0.88,0.77,0.73,0.82,0.63,0.73
Quick Ratio,0.045,0.17,0.14,0.12,0.18,0.17,0.098,0.26,,,0.17,0.16,0.098,0.14,0.26,0.45,0.26,0.32,0.29,0.37
Days Inventory Outstanding,1.01,0.66,0.90,0.74,1.24,2.13,6.27,6.44,,,1.42,1.74,6.72,14.1,9.70,2.59,2.13,4.02,4.26,3.03
Days Sale Outstanding,25.9,42.3,43.2,66.7,144.0,115.2,69.2,101.5,,,87.7,76.8,69.2,128.5,161.5,237.8,101.5,118.1,103.0,106.7
Days Payable Outstanding,"1,374",463.5,238.5,216.6,227.5,206.5,150.4,132.6,,,149.7,147.9,158.0,226.3,271.6,239.8,119.8,94.6,84.4,76.2
Cash Conversion Cycle,"-1,351",-193.6,-190.8,-160.9,-180.2,-53.5,-24.6,29.3,,,-26.7,0.33,-37.1,-55.4,-46.7,45.2,113.7,63.6,78.9,81.4
Debt to Asset Ratio,0.61,0.61,0.58,0.60,0.54,0.52,0.44,0.49,,,0.45,0.44,0.44,0.45,0.50,0.49,0.49,0.49,0.49,0.47
Debt to Equity Ratio,1.57,1.55,1.36,1.49,1.37,1.30,0.90,1.09,,,0.91,0.89,0.90,0.93,1.12,1.09,1.09,1.11,1.15,1.09
Interest Coverage Ratio,,1.34,,,,3.35,,,,,,,,,,,,0.54,0.028,1.66
Cash and Short Term Investments,9.47,5.69,4.44,3.71,4.82,3.79,3.76,21.2,,,27.3,14.1,3.76,3.07,47.3,17.9,21.2,28.7,15.0,11.8
"Total Receivables, Net",3.01,6.06,5.28,8.99,22.6,24.6,16.7,26.5,,,23.9,20.7,16.7,25.4,28.5,46.9,26.5,34.8,33.2,36.6
Total Inventory,0.020,0.034,0.035,0.028,0.12,0.24,1.37,0.36,,,0.13,0.36,1.37,1.35,0.22,0.21,0.36,0.84,0.55,0.56
Total Current Assets,22.5,32.7,16.3,19.4,34.4,32.5,29.6,75.8,,,57.4,39.9,29.6,33.6,95.3,80.3,75.8,89.1,71.2,71.7
"Property/Plant/Equipment, Total - Net",315.5,366.8,371.3,381.9,491.5,500.2,579.2,597.1,,,574.7,574.8,579.2,583.5,586.5,595.5,597.1,595.9,594.5,592.0
Total Assets,338.9,400.3,389.8,402.5,532.7,540.2,617.0,687.4,,,639.2,621.8,617.0,627.4,703.8,696.3,687.4,700.1,687.8,685.8
Accounts Payable,28.8,9.28,9.25,9.12,17.5,17.0,21.6,14.0,,,22.5,19.0,21.6,22.1,21.7,18.1,14.0,14.2,13.4,14.5
Accrued Expenses,,8.85,7.53,7.73,10.3,9.79,58.6,7.37,,,12.0,12.1,58.6,17.0,7.91,7.75,7.37,8.31,10.3,7.65
Debt Due,15.0,9.11,13.4,19.0,36.7,41.1,15.0,9.00,,,31.9,23.4,15.0,53.0,0.90,5.03,9.00,12.8,13.6,13.8
Total Current Liabilities,66.2,35.1,37.5,72.5,127.5,144.7,170.2,103.2,,,140.5,126.7,170.2,180.9,108.7,104.1,103.2,109.3,112.9,98.2
Long Term Debt,127.6,132.3,118.9,99.8,77.6,53.4,1.77,129.3,,,47.3,47.0,1.77,1.57,137.2,133.2,129.3,125.6,122.2,118.7
Total Liabilities,206.9,243.3,224.5,241.0,287.1,281.6,271.3,336.1,,,284.5,273.1,271.3,282.1,348.6,340.8,336.1,340.4,339.4,321.1
Common Stock,490.5,490.5,496.5,496.5,510.1,510.1,561.1,561.1,,,557.9,561.1,561.1,561.1,561.1,561.1,561.1,561.1,561.1,561.1
Additional Paid-In Capital,,,,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),-330.2,-296.4,-303.2,-307.1,-315.2,-307.2,-312.9,-307.0,,,-303.1,-309.6,-312.9,-313.5,-304.0,-303.1,-307.0,-308.7,-319.2,-317.2
Shareholders' Equity,131.9,157.1,165.3,161.5,209.2,217.1,302.6,308.4,,,312.3,305.9,302.6,301.9,311.4,312.3,308.4,306.7,296.2,294.2
Cash from Operating Activities,22.9,18.3,10.4,12.4,23.9,32.9,18.3,-21.5,,,7.51,-1.30,5.89,13.9,-41.7,-4.22,10.6,0.62,10.1,4.60
Cash from Investing Activities,-4.64,-10.7,-2.40,6.40,-28.0,-7.80,-15.7,-35.0,,,-4.76,-2.87,-7.32,-7.21,-11.1,-11.5,-5.21,7.18,-9.36,-1.77
Cash from Financing Activities,-9.91,-11.4,-9.60,-19.2,5.15,-26.1,-2.55,73.9,,,22.5,-9.05,-8.88,-7.35,83.0,-1.17,-0.56,-0.25,-14.5,-5.95
Net Change in Cash,8.35,-3.78,-1.56,-0.41,1.10,-1.03,-0.024,17.4,,,25.3,-13.2,-10.3,-0.69,30.1,-16.9,4.86,7.55,-13.8,-3.12
Free Cashflows,21.9,17.7,-6.23,-11.2,-48.2,13.5,2.76,-51.5,,,2.98,-4.17,-1.43,6.66,-47.8,-15.7,5.42,-2.01,7.53,2.81
