Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,5.1266,5.2127,5.0835,5.2127,129177.0,3.7151,
2010-01-04,5.1696,5.1696,5.0835,5.0835,17641.0,3.623,-0.024791
2010-01-05,5.1696,5.1696,5.1266,5.1266,37024.0,3.6537,0.008474
2010-01-06,5.1266,5.1696,5.1266,5.1266,36676.0,3.6537,0.0
2010-01-07,5.1266,5.1696,5.0835,5.1266,158425.0,3.6537,0.0
2010-01-08,5.1696,5.1696,5.0835,5.0835,134748.0,3.623,-0.008402
2010-01-11,5.1696,5.1696,5.1266,5.1266,31917.0,3.6537,0.008474
2010-01-13,5.1266,5.1696,5.1266,5.1266,72771.0,3.6537,0.0
2010-01-15,5.1266,5.385,5.1266,5.1266,506263.0,3.6537,0.0
2010-01-18,5.1696,5.2989,5.1266,5.2989,521003.0,3.7766,0.033637
2010-01-19,5.2127,5.2127,5.1266,5.1266,122562.0,3.6537,-0.032542
2010-01-20,5.1266,5.2127,5.0835,5.1696,95983.0,3.6844,0.008402
2010-01-21,5.1696,5.2127,4.9973,5.1266,45729.0,3.6537,-0.008332
2010-01-22,5.1266,5.1266,5.0404,5.1266,41782.0,3.6537,0.0
2010-01-25,5.0835,5.1266,5.0404,5.0835,46889.0,3.623,-0.008402
2010-01-26,5.0835,5.1266,4.9973,5.0404,63370.0,3.5923,-0.008474
2010-01-27,5.0835,5.1266,4.8681,4.8681,151925.0,3.4695,-0.034184
2010-01-28,4.8681,5.0404,4.7819,4.7819,108402.0,3.4081,-0.017697
2010-01-29,4.7819,4.9973,4.7819,4.9973,70102.0,3.5616,0.04504
2010-02-01,5.0835,5.0835,4.8681,5.0404,13695.0,3.5923,0.00862
2010-02-04,5.0835,5.0835,4.9973,5.0404,132775.0,3.5923,0.0
2010-02-05,5.0835,5.1266,4.9112,5.0404,85306.0,3.5923,0.0
2010-02-08,4.9973,5.0404,4.9542,5.0404,17874.0,3.5923,0.0
2010-02-09,4.8681,4.9542,4.7819,4.9542,15784.0,3.5309,-0.017092
2010-02-11,4.9542,5.0404,4.9542,5.0404,22052.0,3.5923,0.017389
2010-02-12,4.9973,5.1696,4.9973,5.1696,141828.0,3.6844,0.025638
2010-02-15,4.9973,5.0404,4.9973,5.0404,11374.0,3.5923,-0.024997
2010-02-16,4.9973,5.1266,4.9973,5.1266,120937.0,3.6537,0.017092
2010-02-17,5.0835,5.0835,4.9542,5.0835,178155.0,3.623,-0.008402
2010-02-18,4.9973,5.0404,4.8681,5.0404,353177.0,3.5923,-0.008474
2010-02-19,4.9973,5.0404,4.9542,5.0404,116062.0,3.5923,0.0
2010-02-22,4.9542,5.0835,4.9542,5.0404,199627.0,3.5923,0.0
2010-02-23,4.9542,5.0835,4.9542,4.9973,485720.0,3.5616,-0.008546
