Date,Open,High,Low,Close,Volume,Adj Close,Return
2015-08-05,7.5,7.65,5.4,5.95,581863800.0,4.9027,
2015-08-06,6.05,6.1,5.25,5.4,150756800.0,4.4495,-0.092439
2015-08-07,5.5,5.85,5.2,5.65,122653500.0,4.6555,0.046297
2015-08-10,5.6,5.6,5.15,5.15,72797800.0,4.2435,-0.088497
2015-08-11,5.3,5.3,4.6,4.6,63720800.0,3.7903,-0.106799
2015-08-13,4.5,4.96,4.32,4.88,84261100.0,4.021,0.060866
2015-08-14,4.84,5.05,4.68,4.92,93839300.0,4.054,0.008207
2015-08-17,4.98,4.98,4.64,4.66,38817500.0,3.8397,-0.052861
2015-08-18,4.48,4.72,4.42,4.46,28227500.0,3.6749,-0.04292
2015-08-19,4.56,4.66,4.5,4.5,34208400.0,3.7079,0.00898
2015-08-20,4.52,4.64,4.5,4.5,17208800.0,3.7079,0.0
2015-08-21,4.46,4.52,4.36,4.36,13171100.0,3.5925,-0.031123
2015-08-24,4.28,4.3,3.8,3.8,13706200.0,3.1311,-0.128434
2015-08-25,4.0,4.02,3.6,3.9,14106000.0,3.2135,0.026317
2015-08-26,3.92,4.12,3.92,3.98,30996500.0,3.2794,0.020507
2015-08-27,4.06,4.16,4.02,4.04,26866300.0,3.3289,0.015094
2015-08-28,4.12,4.18,3.98,4.04,17517600.0,3.3289,0.0
2015-08-31,4.04,4.14,4.0,4.08,8202100.0,3.3618,0.009883
2015-09-01,4.12,4.44,4.08,4.16,53381400.0,3.4278,0.019632
2015-09-02,4.2,4.74,4.18,4.74,49579100.0,3.9057,0.139419
2015-09-03,4.78,4.96,4.52,4.6,135381500.0,3.7903,-0.029547
2015-09-04,4.64,4.68,4.48,4.52,30366400.0,3.7244,-0.017386
2015-09-07,4.5,4.64,4.5,4.56,19578100.0,3.7573,0.008834
2015-09-08,4.62,4.94,4.62,4.94,89861200.0,4.0705,0.083358
2015-09-09,5.0,5.35,4.96,5.35,74860800.0,4.4083,0.082987
2015-09-10,5.25,5.35,5.1,5.2,53100500.0,4.2847,-0.028038
2015-09-11,5.25,5.4,4.92,4.92,53347100.0,4.054,-0.053843
2015-09-14,4.96,5.0,4.84,4.9,41681800.0,4.0375,-0.00407
2015-09-15,4.92,4.94,4.62,4.62,27554900.0,3.8068,-0.057139
2015-09-16,4.7,5.05,4.64,5.05,58317700.0,4.1611,0.09307
2015-09-17,5.05,5.1,4.92,5.0,41116000.0,4.1199,-0.009901
2015-09-18,5.05,5.15,5.0,5.0,22299500.0,4.1199,0.0
