Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,116.0,117.0,115.0,116.0,2424600.0,83.5847,
2010-01-04,116.0,116.5,115.0,115.5,1746300.0,83.2244,-0.004311
2010-01-05,116.0,117.0,113.5,114.0,5958200.0,82.1436,-0.012987
2010-01-06,114.5,116.0,113.5,115.5,6403900.0,83.2244,0.013157
2010-01-07,116.5,117.0,115.0,115.5,3321400.0,83.2244,0.0
2010-01-08,115.5,116.5,115.5,115.5,2415900.0,83.2244,0.0
2010-01-11,116.5,116.5,115.5,115.5,2706100.0,83.2244,0.0
2010-01-12,115.5,117.5,115.5,116.0,3926500.0,83.5847,0.004329
2010-01-13,116.0,117.0,115.5,117.0,2260400.0,84.3052,0.00862
2010-01-14,118.0,120.0,117.5,119.0,9439400.0,85.7463,0.017094
2010-01-15,119.0,119.5,117.0,117.5,3735800.0,84.6655,-0.012605
2010-01-18,116.5,117.0,116.0,116.5,2448000.0,83.9449,-0.008511
2010-01-19,116.5,117.0,114.5,115.0,3926800.0,82.8641,-0.012875
2010-01-20,115.0,116.0,113.5,116.0,4786200.0,83.5847,0.008696
2010-01-21,115.5,115.5,114.0,114.5,3999600.0,82.5038,-0.012932
2010-01-22,114.0,114.5,113.0,114.5,4305300.0,82.5038,0.0
2010-01-25,113.0,114.0,113.0,113.5,2648700.0,81.7833,-0.008733
2010-01-26,113.5,114.5,112.0,113.0,3340000.0,81.423,-0.004406
2010-01-27,114.0,114.5,111.5,111.5,3136800.0,80.3422,-0.013274
2010-01-28,112.5,113.0,111.0,112.0,2977100.0,80.7024,0.004483
2010-01-29,112.0,113.0,110.0,113.0,9009200.0,81.423,0.008929
2010-02-01,112.0,113.5,111.0,113.0,2913300.0,81.423,0.0
2010-02-02,113.5,114.0,111.0,111.5,3210800.0,80.3422,-0.013274
2010-02-03,112.0,114.0,112.0,113.0,2912200.0,81.423,0.013452
2010-02-04,113.0,113.0,111.5,112.0,2595700.0,80.7024,-0.00885
2010-02-05,110.0,111.5,109.0,111.5,6203600.0,80.3422,-0.004463
2010-02-08,109.5,109.5,106.0,107.5,6591000.0,77.4599,-0.035875
2010-02-09,107.0,108.5,106.0,107.5,3365900.0,77.4599,0.0
2010-02-10,108.0,109.0,107.0,107.5,4085100.0,77.4599,0.0
2010-02-11,107.5,108.0,107.0,107.5,2375200.0,77.4599,0.0
2010-02-12,107.5,109.0,107.0,108.0,3845900.0,77.8202,0.004651
2010-02-15,107.0,107.0,105.5,105.5,3464600.0,76.0188,-0.023148
2010-02-16,105.5,106.0,105.0,106.0,1672400.0,76.3791,0.00474
2010-02-17,106.5,107.5,106.0,107.0,3536900.0,77.0997,0.009435
2010-02-18,107.0,109.0,106.5,108.0,4722200.0,77.8202,0.009345
2010-02-19,107.5,109.0,106.5,109.0,5353600.0,78.5408,0.00926
2010-02-22,109.5,110.0,108.5,109.5,3156000.0,78.901,0.004586
2010-02-23,108.5,112.0,108.5,111.5,6025000.0,80.3422,0.018266
2010-02-24,111.0,114.0,111.0,114.0,6018200.0,82.1436,0.022422
2010-02-25,115.0,115.5,113.5,115.0,5162600.0,82.8641,0.008771
2010-02-26,115.5,117.5,114.5,116.5,7004900.0,83.9449,0.013043
2010-03-02,118.0,120.0,117.0,119.0,9930000.0,85.7463,0.021459
2010-03-03,120.0,121.0,118.0,120.5,6195000.0,86.8272,0.012606
2010-03-04,120.0,120.5,118.5,119.0,5343100.0,85.7463,-0.012449
2010-03-05,119.5,121.0,119.0,119.5,5336400.0,86.1066,0.004202
2010-03-08,120.5,121.0,118.5,119.0,4843600.0,85.7463,-0.004184
2010-03-09,118.5,119.5,118.0,118.0,2756100.0,85.0258,-0.008403
2010-03-10,118.0,119.0,117.5,118.0,2088500.0,85.0258,0.0
2010-03-11,119.0,120.5,118.0,119.5,2848900.0,86.1066,0.012711
2010-03-12,120.0,124.0,120.0,123.0,5554700.0,88.6286,0.029289
2010-03-15,123.0,127.0,123.0,126.0,7760400.0,90.7902,0.024389
2010-03-16,126.0,127.0,124.0,127.0,4223400.0,91.5108,0.007937
2010-03-17,127.5,130.0,127.5,129.0,6477100.0,92.9519,0.015748
2010-03-18,129.0,129.0,126.0,126.5,6024100.0,91.1505,-0.01938
2010-03-19,127.0,132.0,126.5,131.0,12362800.0,94.393,0.035573
2010-03-22,130.0,133.0,127.0,128.0,8461200.0,92.2314,-0.0229
2010-03-23,128.5,131.0,128.5,131.0,6787900.0,94.393,0.023437
2010-03-24,132.5,136.5,132.5,135.0,14911300.0,97.2753,0.030535
2010-03-25,136.0,137.0,132.5,135.0,6191400.0,97.2753,0.0
2010-03-26,134.0,135.0,133.0,135.0,3638000.0,97.2753,0.0
