Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,0.31,0.31,0.3,0.3,820000.0,-0.1338,
2010-01-04,0.315,0.315,0.315,0.315,10000.0,-0.1405,0.050075
2010-01-05,0.315,0.315,0.315,0.315,10000.0,-0.1405,0.0
2010-01-06,0.31,0.31,0.3,0.3,850000.0,-0.1338,-0.047687
2010-01-07,0.31,0.31,0.31,0.31,230000.0,-0.1383,0.033632
2010-01-08,0.305,0.305,0.305,0.305,0.0,-0.1361,-0.015907
2010-01-11,0.305,0.305,0.305,0.305,0.0,-0.1361,0.0
2010-01-12,0.31,0.31,0.3,0.3,3110000.0,-0.1338,-0.016899
2010-01-13,0.3,0.31,0.3,0.3,0.0,-0.1338,0.0
2010-01-14,0.3025,0.3025,0.3025,0.3025,100000.0,-0.1349,0.008221
2010-01-15,0.3025,0.3025,0.2975,0.2975,6830000.0,-0.1327,-0.016308
2010-01-18,0.2975,0.2975,0.2975,0.2975,280000.0,-0.1327,0.0
2010-01-19,0.31,0.31,0.3,0.3,550000.0,-0.1338,0.008289
2010-01-20,0.3,0.3,0.3,0.3,160000.0,-0.1338,0.0
2010-01-21,0.3,0.3,0.3,0.3,10000.0,-0.1338,0.0
2010-01-22,0.3075,0.3075,0.3075,0.3075,70000.0,-0.1372,0.025411
2010-01-25,0.31,0.31,0.31,0.31,40000.0,-0.1383,0.008017
2010-01-27,0.31,0.31,0.31,0.31,1000000.0,-0.1383,0.0
2010-01-28,0.305,0.33,0.305,0.305,0.0,-0.1361,-0.015907
2010-01-29,0.305,0.33,0.305,0.305,0.0,-0.1361,0.0
2010-02-01,0.3075,0.3125,0.3075,0.3075,0.0,-0.1372,0.008082
2010-02-02,0.31,0.31,0.31,0.31,10000.0,-0.1383,0.008017
2010-02-03,0.31,0.3125,0.31,0.31,0.0,-0.1383,0.0
2010-02-04,0.3125,0.315,0.3125,0.315,1010000.0,-0.1405,0.015907
2010-02-05,0.315,0.315,0.31,0.31,510000.0,-0.1383,-0.015658
2010-02-08,0.32,0.33,0.315,0.315,120000.0,-0.1405,0.015907
2010-02-09,0.31,0.315,0.31,0.31,0.0,-0.1383,-0.015658
2010-02-10,0.31,0.3175,0.31,0.31,0.0,-0.1383,0.0
2010-02-11,0.315,0.315,0.315,0.315,200000.0,-0.1405,0.015907
2010-02-12,0.3125,0.3125,0.3125,0.3125,130000.0,-0.1394,-0.007829
2010-02-15,0.315,0.315,0.315,0.315,170000.0,-0.1405,0.007891
2010-02-16,0.32,0.32,0.3125,0.315,730000.0,-0.1405,0.0
2010-02-17,0.315,0.315,0.315,0.315,1000000.0,-0.1405,0.0
2010-02-18,0.315,0.315,0.315,0.315,650000.0,-0.1405,0.0
2010-02-19,0.315,0.315,0.3125,0.315,700000.0,-0.1405,0.0
2010-02-22,0.3125,0.315,0.3125,0.315,610000.0,-0.1405,0.0
2010-02-23,0.3125,0.3175,0.3125,0.3175,410000.0,-0.1416,0.007829
2010-02-24,0.3175,0.3175,0.315,0.315,950000.0,-0.1405,-0.007768
2010-02-25,0.315,0.315,0.31,0.315,640000.0,-0.1405,0.0
2010-02-26,0.315,0.315,0.3125,0.315,760000.0,-0.1405,0.0
2010-03-02,0.3175,0.3175,0.3175,0.3175,10000.0,-0.1416,0.007829
2010-03-03,0.325,0.3425,0.32,0.33,240000.0,-0.1472,0.039548
2010-03-04,0.32,0.325,0.32,0.32,450000.0,-0.1428,-0.029891
2010-03-05,0.32,0.325,0.32,0.325,1470000.0,-0.145,0.015406
2010-03-08,0.3225,0.33,0.3225,0.3225,0.0,-0.1439,-0.007586
2010-03-09,0.26,0.32,0.26,0.32,430000.0,-0.1428,-0.007644
2010-03-10,0.32,0.32,0.32,0.32,50000.0,-0.1428,0.0
2010-03-11,0.3225,0.3225,0.3225,0.3225,240000.0,-0.1439,0.007703
2010-03-12,0.3225,0.33,0.3225,0.33,150000.0,-0.1472,0.022933
2010-03-15,0.3375,0.3375,0.3375,0.3375,50000.0,-0.1506,0.023098
2010-03-16,0.33,0.3375,0.33,0.3375,260000.0,-0.1506,0.0
2010-03-17,0.34,0.34,0.25,0.34,370000.0,-0.1517,0.007304
2010-03-18,0.32,0.32,0.32,0.32,200000.0,-0.1428,-0.058668
2010-03-19,0.33,0.3325,0.32,0.32,320000.0,0.0491,-1.343838
2010-03-22,0.33,0.33,0.33,0.33,50000.0,0.0507,0.032587
2010-03-23,0.33,0.33,0.33,0.33,550000.0,0.0507,0.0
2010-03-24,0.32,0.33,0.32,0.32,0.0,0.0491,-0.031558
2010-03-25,0.3275,0.3325,0.3275,0.33,900000.0,0.0507,0.032587
2010-03-26,0.325,0.33,0.325,0.325,0.0,0.0499,-0.015779
2010-03-29,0.33,0.33,0.33,0.33,30000.0,0.0507,0.016032
2010-03-30,0.325,0.325,0.325,0.325,50000.0,0.0499,-0.015779
2010-03-31,0.3275,0.3275,0.32,0.32,310000.0,0.0491,-0.016032
2010-04-01,0.32,0.32,0.3,0.32,270000.0,0.0491,0.0
2010-04-02,0.265,0.32,0.265,0.265,0.0,0.0407,-0.171079
2010-04-05,0.32,0.32,0.32,0.32,20000.0,0.0491,0.206388
2010-04-07,0.32,0.32,0.315,0.315,210000.0,0.0484,-0.014257
2010-04-08,0.31,0.31,0.3,0.3,500000.0,0.046,-0.049587
2010-04-09,0.3,0.3,0.3,0.3,10000.0,0.046,0.0
2010-04-12,0.29,0.3,0.29,0.3,1060000.0,0.046,0.0
2010-04-16,0.32,0.32,0.315,0.315,320000.0,0.0484,0.052174
2010-04-19,0.32,0.32,0.3175,0.3175,230000.0,0.0487,0.006198
2010-04-20,0.315,0.32,0.315,0.315,0.0,0.0484,-0.00616
2010-04-21,0.315,0.3175,0.315,0.315,0.0,0.0484,0.0
2010-04-22,0.315,0.33,0.3125,0.33,410000.0,0.0507,0.047521
2010-04-23,0.325,0.33,0.325,0.33,290000.0,0.0507,0.0
2010-04-26,0.33,0.335,0.33,0.33,180000.0,0.0507,0.0
2010-04-27,0.33,0.33,0.3275,0.33,170000.0,0.0507,0.0
2010-04-28,0.33,0.33,0.3275,0.3275,80000.0,0.0503,-0.00789
2010-04-29,0.3275,0.33,0.3275,0.3275,180000.0,0.0503,0.0
2010-04-30,0.3275,0.33,0.3275,0.3275,0.0,0.0503,0.0
2010-05-04,0.3275,0.3325,0.3275,0.33,520000.0,0.0507,0.007952
2010-05-06,0.33,0.33,0.33,0.33,120000.0,0.0507,0.0
2010-05-07,0.325,0.33,0.325,0.325,0.0,0.0499,-0.015779
2010-05-10,0.3275,0.33,0.3275,0.3275,0.0,0.0503,0.008016
2010-05-11,0.33,0.335,0.33,0.335,380000.0,0.0514,0.021869
2010-05-12,0.335,0.3375,0.335,0.335,400000.0,0.0514,0.0
2010-05-13,0.3375,0.3375,0.3375,0.3375,100000.0,0.0518,0.007782
2010-05-14,0.3375,0.3375,0.33,0.33,130000.0,0.0507,-0.021236
2010-05-17,0.33,0.34,0.33,0.33,0.0,0.0507,0.0
2010-05-18,0.3375,0.34,0.3375,0.34,220000.0,0.0522,0.029586
2010-05-19,0.33,0.33,0.33,0.33,200000.0,0.0507,-0.028736
2010-05-20,0.33,0.33,0.33,0.33,0.0,0.0507,0.0
2010-05-21,0.33,0.33,0.33,0.33,0.0,0.0507,0.0
2010-05-24,0.33,0.33,0.3275,0.3275,260000.0,0.0503,-0.00789
2010-05-25,0.325,0.325,0.325,0.325,200000.0,0.0499,-0.007952
2010-05-26,0.3225,0.3225,0.3225,0.3225,50000.0,0.0495,-0.008016
2010-05-27,0.3,0.33,0.3,0.3,0.0,0.046,-0.070707
2010-05-31,0.3225,0.325,0.3225,0.325,560000.0,0.0499,0.084783
2010-06-01,0.325,0.3275,0.325,0.325,190000.0,0.0499,0.0
2010-06-02,0.3225,0.325,0.3225,0.3225,570000.0,0.0495,-0.008016
2010-06-03,0.3225,0.3225,0.32,0.32,160000.0,0.0491,-0.008081
2010-06-04,0.32,0.3225,0.32,0.32,0.0,0.0491,0.0
2010-06-07,0.32,0.32,0.32,0.32,100000.0,0.0491,0.0
2010-06-08,0.3025,0.32,0.3025,0.3025,0.0,0.0464,-0.05499
2010-06-09,0.3175,0.3175,0.3175,0.3175,720000.0,0.0487,0.049569
2010-06-10,0.3175,0.3175,0.315,0.315,230000.0,0.0484,-0.00616
2010-06-11,0.315,0.315,0.31,0.3125,910000.0,0.048,-0.008264
2010-06-14,0.3125,0.3125,0.3125,0.3125,700000.0,0.048,0.0
2010-06-15,0.3125,0.315,0.3125,0.3125,520000.0,0.048,0.0
2010-06-16,0.315,0.315,0.315,0.315,80000.0,0.0484,0.008333
2010-06-17,0.315,0.3175,0.31,0.3125,1090000.0,0.048,-0.008264
2010-06-18,0.3125,0.3125,0.31,0.3125,850000.0,0.048,0.0
2010-06-21,0.31,0.3125,0.31,0.3125,1100000.0,0.048,0.0
2010-06-22,0.3125,0.3125,0.31,0.31,950000.0,0.0476,-0.008333
2010-06-23,0.31,0.31,0.31,0.31,240000.0,0.0476,0.0
2010-06-24,0.31,0.31,0.31,0.31,500000.0,0.0476,0.0
2010-06-25,0.31,0.31,0.31,0.31,10000.0,0.0476,0.0
2010-06-29,0.3075,0.31,0.3075,0.3075,0.0,0.0472,-0.008403
2010-06-30,0.3125,0.3125,0.31,0.31,110000.0,0.0476,0.008475
2010-07-02,0.31,0.31,0.31,0.31,530000.0,0.0476,0.0
2010-07-05,0.31,0.3125,0.31,0.31,260000.0,0.0476,0.0
2010-07-06,0.31,0.31,0.31,0.31,560000.0,0.0476,0.0
2010-07-07,0.31,0.3125,0.31,0.31,450000.0,0.0476,0.0
2010-07-08,0.31,0.31,0.31,0.31,340000.0,0.0476,0.0
2010-07-09,0.31,0.3125,0.31,0.31,460000.0,0.0476,0.0
2010-07-12,0.3125,0.315,0.3125,0.315,1870000.0,0.0484,0.016807
2010-07-13,0.31,0.31,0.31,0.31,400000.0,0.0476,-0.016529
2010-07-14,0.3125,0.3125,0.3125,0.3125,110000.0,0.048,0.008403
2010-07-15,0.31,0.315,0.31,0.31,0.0,0.0476,-0.008333
2010-07-16,0.315,0.32,0.315,0.3175,1100000.0,0.0487,0.023109
2010-07-19,0.33,0.33,0.31,0.31,90000.0,0.0476,-0.022587
2010-07-20,0.315,0.315,0.31,0.31,100000.0,0.0476,0.0
2010-07-21,0.31,0.325,0.31,0.31,0.0,0.0476,0.0
2010-07-22,0.31,0.315,0.31,0.315,60000.0,0.0484,0.016807
2010-07-23,0.305,0.32,0.305,0.305,0.0,0.0468,-0.033058
2010-07-27,0.32,0.32,0.32,0.32,60000.0,0.0491,0.049145
2010-07-28,0.3,0.31,0.3,0.3,2720000.0,0.046,-0.063136
2010-07-29,0.31,0.31,0.31,0.31,50000.0,0.0476,0.034783
2010-07-30,0.31,0.3125,0.31,0.3125,260000.0,0.048,0.008403
2010-08-02,0.315,0.315,0.3125,0.315,40000.0,0.0484,0.008333
2010-08-03,0.315,0.315,0.3025,0.3075,1320000.0,0.0472,-0.024793
2010-08-04,0.31,0.33,0.3075,0.3075,20150000.0,0.0472,0.0
2010-08-05,0.3075,0.3125,0.3075,0.3125,160000.0,0.048,0.016949
2010-08-06,0.3125,0.3125,0.3125,0.3125,90000.0,0.048,0.0
2010-08-09,0.315,0.32,0.315,0.32,390000.0,0.0491,0.022917
2010-08-10,0.3175,0.32,0.3175,0.32,190000.0,0.0491,0.0
2010-08-11,0.325,0.325,0.3025,0.3075,490000.0,0.0472,-0.038697
2010-08-16,0.315,0.32,0.31,0.31,1160000.0,0.0476,0.008475
2010-08-17,0.3125,0.3125,0.31,0.3125,9560000.0,0.048,0.008403
2010-08-18,0.315,0.315,0.31,0.31,3100000.0,0.0476,-0.008333
2010-08-19,0.3125,0.315,0.31,0.315,1720000.0,0.0484,0.016807
2010-08-20,0.3175,0.32,0.3175,0.3175,1850000.0,0.0487,0.006198
2010-08-24,0.3075,0.3225,0.3075,0.3075,0.0,0.0472,-0.030801
2010-08-25,0.32,0.32,0.32,0.32,10000.0,0.0491,0.040254
2010-08-26,0.305,0.3175,0.305,0.305,0.0,0.0468,-0.046843
2010-08-27,0.3175,0.3175,0.3175,0.3175,100000.0,0.0487,0.040598
2010-08-30,0.3075,0.3075,0.3075,0.3075,40000.0,0.0472,-0.030801
2010-08-31,0.3125,0.3125,0.3075,0.3075,20000.0,0.0472,0.0
2010-09-01,0.315,0.315,0.315,0.315,10000.0,0.0484,0.025424
2010-09-02,0.3075,0.3075,0.3,0.3025,70000.0,0.0464,-0.041322
2010-09-03,0.3125,0.3175,0.31,0.31,220000.0,0.0476,0.025862
2010-09-06,0.31,0.315,0.31,0.315,110000.0,0.0484,0.016807
2010-09-07,0.3025,0.315,0.3025,0.3025,0.0,0.0464,-0.041322
2010-09-08,0.3025,0.315,0.3025,0.3025,0.0,0.0464,0.0
2010-09-09,0.305,0.315,0.305,0.305,0.0,0.0468,0.008621
2010-09-10,0.305,0.315,0.305,0.305,0.0,0.0468,0.0
2010-09-13,0.315,0.315,0.315,0.315,300000.0,0.0484,0.034188
2010-09-14,0.315,0.315,0.315,0.315,100000.0,0.0484,0.0
2010-09-15,0.315,0.315,0.315,0.315,100000.0,0.0484,0.0
2010-09-16,0.315,0.315,0.31,0.315,210000.0,0.0484,0.0
2010-09-17,0.315,0.315,0.315,0.315,100000.0,0.0484,0.0
2010-09-20,0.315,0.315,0.315,0.315,200000.0,0.0484,0.0
2010-09-21,0.315,0.315,0.315,0.315,270000.0,0.0484,0.0
2010-09-22,0.315,0.315,0.315,0.315,400000.0,0.0484,0.0
2010-09-23,0.3025,0.31,0.3025,0.31,1000000.0,0.0476,-0.016529
2010-09-24,0.315,0.315,0.315,0.315,400000.0,0.0484,0.016807
2010-09-27,0.315,0.315,0.3075,0.3075,400000.0,0.0472,-0.024793
2010-09-28,0.3075,0.3075,0.3075,0.3075,200000.0,0.0472,0.0
2010-09-29,0.3075,0.3075,0.3075,0.3075,310000.0,0.0472,0.0
2010-09-30,0.31,0.31,0.31,0.31,230000.0,0.0476,0.008475
