Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,2.22,2.26,2.22,2.26,2100.0,1.8779,
2010-01-04,2.26,2.26,2.26,2.26,0.0,1.8779,0.0
2010-01-05,2.26,2.3,2.26,2.26,34500.0,1.8779,0.0
2010-01-06,2.28,2.28,2.28,2.28,1000.0,1.8945,0.00884
2010-01-07,2.28,2.28,2.28,2.28,0.0,1.8945,0.0
2010-01-08,2.24,2.3,2.2,2.3,21200.0,1.9111,0.008762
2010-01-11,2.24,2.3,2.2,2.3,34200.0,1.9111,0.0
2010-01-12,2.22,2.6,2.22,2.32,757000.0,1.9278,0.008738
2010-01-13,2.34,2.5,2.3,2.4,469900.0,1.9942,0.034443
2010-01-14,2.4,2.46,2.38,2.38,26900.0,1.9776,-0.008324
2010-01-15,2.36,2.44,2.32,2.34,11900.0,1.9444,-0.016788
2010-01-18,2.44,2.44,2.34,2.42,7900.0,2.0109,0.034201
2010-01-19,2.34,2.42,2.3,2.32,96900.0,1.9278,-0.041325
2010-01-20,2.36,2.4,2.3,2.3,5500.0,1.9111,-0.008663
2010-01-21,2.28,2.4,2.26,2.38,72500.0,1.9776,0.034797
2010-01-22,2.34,2.34,2.3,2.3,49600.0,1.9111,-0.033627
2010-01-25,2.36,2.4,2.28,2.28,11000.0,1.8945,-0.008686
2010-01-26,2.28,2.36,2.26,2.28,76500.0,1.8945,0.0
2010-01-27,2.36,2.36,2.36,2.36,100.0,1.961,0.035102
2010-01-28,2.26,2.26,2.16,2.16,55600.0,1.7948,-0.084753
2010-01-29,2.24,2.34,2.18,2.34,3900.0,1.9444,0.083352
2010-02-01,2.34,2.34,2.16,2.34,31300.0,1.9444,0.0
2010-02-03,2.32,2.34,2.28,2.34,11000.0,1.9444,0.0
2010-02-04,2.3,2.34,2.24,2.24,91500.0,1.8613,-0.042738
2010-02-05,2.28,2.3,2.24,2.24,4300.0,1.8613,0.0
2010-02-08,2.24,2.26,2.24,2.26,2900.0,1.8779,0.008918
2010-02-09,2.28,2.3,2.28,2.28,1100.0,1.8945,0.00884
2010-02-10,2.3,2.3,2.3,2.3,500.0,1.9111,0.008762
2010-02-11,2.22,2.3,2.22,2.3,600.0,1.9111,0.0
2010-02-12,2.22,2.28,2.2,2.28,23900.0,1.8945,-0.008686
2010-02-15,2.3,2.36,2.3,2.36,500.0,1.961,0.035102
2010-02-16,2.3,2.36,2.3,2.36,3100.0,1.961,0.0
2010-02-17,2.24,2.34,2.24,2.24,0.0,1.8613,-0.050841
2010-02-18,2.38,2.38,2.36,2.36,6500.0,1.961,0.053565
2010-02-19,2.24,2.36,2.24,2.24,0.0,1.8613,-0.050841
2010-02-22,2.36,2.36,2.36,2.36,1000.0,1.961,0.053565
2010-02-23,2.28,2.36,2.26,2.34,1500.0,1.9444,-0.008465
2010-02-24,2.3,2.38,2.3,2.38,34200.0,1.9776,0.017075
2010-02-25,2.3,2.36,2.28,2.36,31500.0,1.961,-0.008394
2010-02-26,2.36,2.4,2.34,2.4,105500.0,1.9942,0.01693
2010-03-02,3.04,3.04,2.5,2.5,11000.0,2.0773,0.041671
2010-03-03,2.4,2.66,2.4,2.66,600.0,2.2103,0.064025
2010-03-04,2.48,2.48,2.32,2.32,22500.0,1.9278,-0.127811
2010-03-05,2.4,2.62,2.34,2.4,63100.0,1.9942,0.034443
2010-03-08,2.4,2.4,2.38,2.38,1200.0,1.9776,-0.008324
2010-03-09,2.3,2.4,2.22,2.4,10500.0,1.9942,0.008394
2010-03-10,2.36,2.36,2.36,2.36,200.0,1.961,-0.016648
2010-03-11,2.34,2.4,2.32,2.32,84900.0,1.9278,-0.01693
2010-03-12,2.46,2.46,2.32,2.4,2900.0,1.9942,0.034443
2010-03-15,2.48,2.48,2.48,2.48,100.0,2.0607,0.033347
2010-03-16,2.6,2.68,2.58,2.66,692300.0,2.2103,0.072597
2010-03-17,2.66,2.76,2.64,2.64,257800.0,2.1937,-0.00751
2010-03-18,2.66,2.7,2.62,2.64,190600.0,2.1937,0.0
2010-03-19,2.66,2.68,2.62,2.66,105500.0,2.2103,0.007567
2010-03-22,2.62,2.64,2.62,2.62,22400.0,2.177,-0.015066
2010-03-23,2.64,2.66,2.62,2.62,44200.0,2.177,0.0
2010-03-24,2.62,2.68,2.56,2.58,149600.0,2.1438,-0.01525
2010-03-25,2.56,2.64,2.56,2.56,380000.0,2.1272,-0.007743
