Date,Open,High,Low,Close,Volume,Adj Close,Return
2016-11-14,5.15,5.9,5.1,5.65,449063100.0,5.519,
2016-11-15,5.65,5.75,5.2,5.3,102118900.0,5.1772,-0.061932
2016-11-16,5.45,5.55,5.3,5.45,36961600.0,5.3237,0.028297
2016-11-17,5.45,6.45,5.4,6.4,168155600.0,6.2517,0.174315
2016-11-18,6.3,6.65,5.9,6.05,230726300.0,5.9098,-0.054689
2016-11-21,6.1,6.2,5.9,5.95,33606300.0,5.8121,-0.016532
2016-11-22,6.05,6.45,6.0,6.45,78415100.0,6.3005,0.084032
2016-11-23,6.4,6.6,6.25,6.3,62821800.0,6.154,-0.023252
2016-11-24,6.4,6.55,6.1,6.1,58161800.0,5.9586,-0.031752
2016-11-25,6.15,6.3,6.1,6.3,21109000.0,6.154,0.032793
2016-11-28,6.25,6.35,6.15,6.3,5678700.0,6.154,0.0
2016-11-29,6.3,6.9,6.2,6.9,39142000.0,6.7401,0.095239
2016-11-30,6.8,7.25,6.8,7.2,29202800.0,7.0331,0.043471
2016-12-01,7.2,7.35,6.65,6.9,21765400.0,6.7401,-0.04166
2016-12-02,6.9,6.9,6.5,6.6,17181200.0,6.447,-0.043486
2016-12-06,6.65,6.9,6.55,6.8,11328400.0,6.6424,0.030309
2016-12-07,6.75,6.85,6.55,6.85,12101200.0,6.6912,0.007347
2016-12-08,6.9,7.2,6.75,7.2,25150100.0,7.0331,0.051097
2016-12-09,7.15,7.35,7.1,7.2,12026900.0,7.0331,0.0
2016-12-13,7.2,7.5,7.1,7.45,15995300.0,7.2773,0.034722
2016-12-14,7.4,7.5,7.2,7.3,10158600.0,7.1308,-0.020131
2016-12-15,7.2,7.4,7.2,7.35,4360300.0,7.1796,0.006844
2016-12-16,7.4,7.65,7.35,7.65,17998900.0,7.4727,0.040824
2016-12-19,7.6,7.65,7.5,7.65,4192900.0,7.4727,0.0
2016-12-20,7.65,7.65,7.2,7.65,11620000.0,7.4727,0.0
2016-12-21,7.6,7.8,7.45,7.75,6815200.0,7.5704,0.013074
2016-12-22,7.7,8.2,7.7,8.2,18721900.0,8.0099,0.058055
2016-12-23,8.15,9.0,7.9,8.9,19394300.0,8.6937,0.085369
2016-12-26,8.9,9.05,8.75,8.95,9984400.0,8.7426,0.005625
2016-12-27,8.85,8.95,8.8,8.85,2361600.0,8.6449,-0.011175
2016-12-28,8.95,9.3,8.8,9.2,13549400.0,8.9868,0.039549
2016-12-29,9.15,9.25,9.1,9.2,3968500.0,8.9868,0.0
2016-12-30,9.2,9.5,9.15,9.5,12467400.0,9.2798,0.032603
2017-01-04,9.4,9.5,8.85,9.15,15869400.0,8.9379,-0.036843
2017-01-05,9.2,9.25,8.9,9.15,10909600.0,8.9379,0.0
2017-01-06,9.1,9.15,8.95,9.05,4738100.0,8.8402,-0.010931
2017-01-09,9.0,9.0,8.35,8.4,21139500.0,8.2053,-0.07182
2017-01-10,8.3,8.65,8.3,8.65,7504800.0,8.4495,0.029761
2017-01-11,8.55,8.75,8.55,8.65,4470900.0,8.4495,0.0
2017-01-12,8.6,8.9,8.55,8.9,4134400.0,8.6937,0.028901
2017-01-16,9.05,9.05,8.85,8.95,1242000.0,8.7426,0.005625
2017-01-17,8.9,8.95,8.65,8.8,3241400.0,8.596,-0.016768
2017-01-18,8.75,8.75,8.2,8.25,13940800.0,8.0588,-0.062494
2017-01-19,8.25,8.45,7.9,8.45,13452100.0,8.2541,0.024234
2017-01-20,8.35,8.55,8.3,8.5,3435300.0,8.303,0.005924
2017-01-23,8.5,8.6,8.45,8.6,2055600.0,8.4007,0.011767
2017-01-24,8.6,8.65,8.1,8.4,6343000.0,8.2053,-0.02326
2017-01-25,8.4,8.4,8.0,8.1,10996500.0,7.9123,-0.035709
2017-01-26,8.25,8.25,8.05,8.15,7999800.0,7.9611,0.006168
2017-01-27,8.2,8.25,8.0,8.25,5644500.0,8.0588,0.012272
2017-01-30,8.35,8.8,8.25,8.8,46244800.0,8.596,0.06666
2017-01-31,8.9,8.95,8.55,8.55,34120800.0,8.3518,-0.028409
2017-02-01,8.6,8.8,8.55,8.65,13072100.0,8.4495,0.011698
2017-02-02,8.75,8.95,8.7,8.75,15922500.0,8.5472,0.011563
2017-02-03,8.75,8.85,8.45,8.5,8202800.0,8.303,-0.028571
2017-02-06,8.6,9.0,8.55,8.65,40093300.0,8.4495,0.017644
2017-02-07,8.7,8.75,8.5,8.55,6072000.0,8.3518,-0.011563
2017-02-08,8.55,8.65,8.35,8.4,6344000.0,8.2053,-0.017541
2017-02-09,8.45,8.5,8.3,8.3,4130500.0,8.1076,-0.011907
2017-02-10,8.4,8.6,8.35,8.6,4724100.0,8.4007,0.036151
2017-02-14,8.65,8.7,8.4,8.5,2325700.0,8.303,-0.01163
2017-02-15,8.45,8.5,8.1,8.3,5290500.0,8.1076,-0.023534
2017-02-16,8.3,8.4,8.15,8.2,8260100.0,8.0099,-0.01205
2017-02-17,8.2,8.3,8.1,8.15,3621600.0,7.9611,-0.006092
2017-02-20,8.2,8.25,8.15,8.15,4371100.0,7.9611,0.0
2017-02-21,8.15,8.15,7.65,7.75,13327200.0,7.5704,-0.049076
2017-02-22,7.85,7.85,7.6,7.6,5209600.0,7.4238,-0.019365
2017-02-23,7.65,7.65,7.1,7.15,9473600.0,6.9843,-0.059201
2017-02-24,7.15,7.65,7.15,7.4,16480100.0,7.2285,0.034964
2017-02-27,7.4,7.4,7.1,7.15,3931000.0,6.9843,-0.033783
2017-02-28,7.2,7.5,7.2,7.35,7435600.0,7.1796,0.027963
2017-03-01,7.45,7.75,7.4,7.65,15980500.0,7.4727,0.040824
2017-03-02,7.65,8.0,7.65,8.0,17742100.0,7.8146,0.045753
2017-03-03,7.95,8.1,7.85,8.05,8051400.0,7.8634,0.006245
2017-03-06,8.1,8.1,7.7,7.7,5869200.0,7.5215,-0.04348
2017-03-07,7.7,7.9,7.55,7.6,4260700.0,7.4238,-0.012989
2017-03-08,7.65,7.7,7.1,7.3,11373800.0,7.1308,-0.039468
2017-03-09,7.2,7.7,7.2,7.65,7654700.0,7.4727,0.047947
2017-03-10,7.65,7.75,7.45,7.75,8997300.0,7.5704,0.013074
2017-03-13,7.75,7.75,7.4,7.4,3790500.0,7.2285,-0.045163
2017-03-14,7.4,7.8,7.35,7.7,6656900.0,7.583,0.049042
2017-03-15,7.6,7.8,7.5,7.6,7049300.0,7.4845,-0.01299
2017-03-16,7.6,7.75,7.6,7.75,5266900.0,7.6322,0.019734
2017-03-17,7.7,7.95,7.65,7.75,8642700.0,7.6322,0.0
2017-03-20,7.8,7.85,7.7,7.75,2772200.0,7.6322,0.0
2017-03-21,7.8,7.8,7.5,7.55,3686000.0,7.4353,-0.025799
2017-03-22,7.6,7.75,7.55,7.55,4814600.0,7.4353,0.0
2017-03-23,7.65,7.65,7.5,7.5,1961700.0,7.386,-0.006631
2017-03-24,7.5,7.55,7.35,7.4,3692800.0,7.2876,-0.013323
2017-03-27,7.4,7.55,7.3,7.35,4186000.0,7.2383,-0.006765
2017-03-28,7.4,7.65,7.35,7.6,10683900.0,7.4845,0.034014
2017-03-29,7.65,7.75,7.55,7.55,9995300.0,7.4353,-0.006574
2017-03-30,7.6,7.75,7.6,7.7,6106900.0,7.583,0.019865
2017-03-31,7.7,7.85,7.7,7.75,6713600.0,7.6322,0.006488
2017-04-03,7.75,8.15,7.75,8.15,24795300.0,8.0262,0.051623
2017-04-04,8.15,8.15,7.9,7.9,13088800.0,7.78,-0.030675
2017-04-05,7.95,8.1,7.9,8.0,6194400.0,7.8784,0.012648
2017-04-07,8.0,8.05,7.9,7.95,1935100.0,7.8292,-0.006245
2017-04-10,7.95,7.95,7.75,7.75,4027300.0,7.6322,-0.025162
2017-04-11,7.8,7.95,7.7,7.95,4214000.0,7.8292,0.025812
2017-04-12,7.95,7.95,7.8,7.95,5192300.0,7.8292,0.0
2017-04-17,7.9,7.9,7.75,7.75,1533900.0,7.6322,-0.025162
2017-04-18,7.8,7.85,7.7,7.7,1385000.0,7.583,-0.006446
2017-04-19,7.65,7.85,7.55,7.75,4461700.0,7.6322,0.006488
2017-04-20,7.75,7.75,7.35,7.35,10965900.0,7.2383,-0.05161
2017-04-21,7.4,7.45,7.35,7.35,2224400.0,7.2383,0.0
2017-04-24,7.35,7.45,7.0,7.2,7190000.0,7.0906,-0.020405
2017-04-25,7.25,7.25,7.0,7.05,3921900.0,6.9429,-0.02083
2017-04-26,7.05,7.3,7.05,7.2,4067900.0,7.0906,0.021274
2017-04-27,7.25,7.25,7.15,7.2,755000.0,7.0906,0.0
2017-04-28,7.25,7.6,7.25,7.55,15808600.0,7.4353,0.048614
2017-05-02,7.6,7.65,7.4,7.4,7387800.0,7.2876,-0.019865
2017-05-03,7.45,7.55,7.4,7.45,4293300.0,7.3368,0.006751
2017-05-04,7.45,7.45,7.35,7.4,2121300.0,7.2876,-0.006706
2017-05-08,7.35,7.4,7.2,7.2,1716900.0,7.0906,-0.027032
2017-05-09,7.25,7.25,7.1,7.1,1722000.0,6.9921,-0.013892
2017-05-11,7.15,7.15,6.75,6.8,4112500.0,6.6967,-0.042248
2017-05-12,6.6,6.6,6.0,6.05,13363100.0,5.9581,-0.110293
2017-05-15,5.7,5.7,5.7,5.7,901800.0,5.6134,-0.057854
2017-05-16,5.65,5.85,5.6,5.7,7151100.0,5.6134,0.0
2017-05-17,5.7,5.7,5.45,5.45,7642300.0,5.3672,-0.043859
2017-05-18,5.5,5.7,5.45,5.55,13556100.0,5.4657,0.018352
2017-05-19,5.7,5.85,5.65,5.8,24266000.0,5.7119,0.045045
2017-05-22,5.9,5.95,5.7,5.7,8513100.0,5.6134,-0.017245
2017-05-23,5.75,5.75,5.6,5.75,2630400.0,5.6626,0.008765
2017-05-24,5.8,6.1,5.75,6.05,23335400.0,5.9581,0.052185
2017-05-25,6.15,6.4,6.05,6.35,22189100.0,6.2535,0.04958
2017-05-26,6.3,6.35,6.05,6.2,13724800.0,6.1058,-0.023619
2017-05-29,6.2,6.25,6.0,6.05,4245000.0,5.9581,-0.02419
2017-05-30,6.05,6.15,6.05,6.15,2326600.0,6.0566,0.016532
2017-05-31,6.15,6.15,5.9,5.95,3065000.0,5.8596,-0.032527
2017-06-01,5.9,6.15,5.9,6.05,3231700.0,5.9581,0.01681
2017-06-02,6.05,6.1,5.95,6.05,1361200.0,5.9581,0.0
2017-06-05,6.05,6.15,6.0,6.0,2695500.0,5.9088,-0.008274
2017-06-06,6.0,6.05,5.95,6.0,1183400.0,5.9088,0.0
2017-06-07,6.0,6.05,5.95,5.95,1338100.0,5.8596,-0.008327
2017-06-08,6.0,6.05,5.85,5.85,2937900.0,5.7611,-0.01681
2017-06-09,5.9,5.9,5.75,5.75,1987600.0,5.6626,-0.017097
2017-06-12,5.75,5.8,5.7,5.75,908500.0,5.6626,0.0
2017-06-13,5.8,6.1,5.75,6.1,6989500.0,6.0073,0.060873
2017-06-14,6.05,6.15,6.05,6.1,4718000.0,6.0073,0.0
2017-06-15,6.05,6.1,5.95,5.95,1373400.0,5.8596,-0.024587
2017-06-16,6.0,6.0,5.9,5.9,912200.0,5.8104,-0.008396
2017-06-19,5.95,6.0,5.85,5.85,951700.0,5.7611,-0.008485
2017-06-20,5.85,6.05,5.85,6.0,2504300.0,5.9088,0.025637
2017-06-21,6.0,6.05,5.95,6.05,1562800.0,5.9581,0.008343
2017-06-22,6.0,6.05,5.9,5.9,1490600.0,5.8104,-0.02479
2017-06-23,5.9,5.95,5.85,5.85,1760600.0,5.7611,-0.008485
2017-06-26,5.9,5.95,5.8,5.85,1074100.0,5.7611,0.0
2017-06-27,5.85,5.9,5.7,5.7,2428200.0,5.6134,-0.025637
2017-06-28,5.7,5.7,5.5,5.55,4918400.0,5.4657,-0.026312
2017-06-29,5.6,5.65,5.45,5.5,2120300.0,5.4164,-0.00902
2017-06-30,5.5,5.55,5.3,5.35,3354500.0,5.2687,-0.027269
2017-07-03,5.35,5.45,5.3,5.3,2019000.0,5.2195,-0.009338
2017-07-04,5.3,5.3,4.98,5.05,8872300.0,4.9733,-0.047169
2017-07-05,5.05,5.15,5.05,5.1,1771600.0,5.0225,0.009893
2017-07-06,5.1,5.1,5.0,5.0,1540600.0,4.924,-0.019612
2017-07-07,5.0,5.1,5.0,5.0,432800.0,4.924,0.0
2017-07-11,5.05,5.05,4.86,4.96,1947900.0,4.8846,-0.008002
2017-07-12,4.94,4.98,4.94,4.98,1169300.0,4.9043,0.004033
2017-07-13,5.0,5.3,5.0,5.2,6339000.0,5.121,0.044186
2017-07-14,5.2,5.2,5.1,5.15,1714800.0,5.0718,-0.009607
2017-07-17,5.2,5.2,5.1,5.1,392700.0,5.0225,-0.00972
2017-07-18,5.1,5.1,5.0,5.0,612400.0,4.924,-0.019612
2017-07-19,5.0,5.1,5.0,5.0,708500.0,4.924,0.0
2017-07-20,5.0,5.05,4.98,5.0,834700.0,4.924,0.0
2017-07-21,5.0,5.0,4.96,4.96,631200.0,4.8846,-0.008002
2017-07-24,4.98,4.98,4.9,4.9,817200.0,4.8256,-0.012079
2017-07-25,4.86,4.86,4.72,4.78,3400800.0,4.7074,-0.024494
2017-07-26,4.78,4.94,4.76,4.92,4849400.0,4.8452,0.029273
2017-07-27,4.94,4.94,4.8,4.8,1065700.0,4.7271,-0.024375
2017-07-31,4.82,4.84,4.72,4.72,963000.0,4.6483,-0.01667
2017-08-01,4.72,4.8,4.7,4.76,836900.0,4.6877,0.008476
2017-08-02,4.78,4.86,4.74,4.76,1085200.0,4.6877,0.0
2017-08-03,4.76,4.82,4.76,4.82,850900.0,4.7468,0.012607
2017-08-04,4.8,4.82,4.76,4.76,644000.0,4.6877,-0.01245
2017-08-07,4.76,4.76,4.72,4.72,361300.0,4.6483,-0.008405
2017-08-08,4.72,4.88,4.72,4.78,2617800.0,4.7074,0.012714
2017-08-09,4.8,4.8,4.66,4.68,1716600.0,4.6089,-0.020925
2017-08-10,4.68,4.68,4.42,4.42,4284300.0,4.3528,-0.055566
2017-08-11,4.4,4.42,4.0,4.18,3841400.0,4.1165,-0.054287
2017-08-15,4.2,4.22,4.16,4.16,934300.0,4.0968,-0.004786
2017-08-16,4.18,4.18,4.06,4.12,2301900.0,4.0574,-0.009617
2017-08-17,4.12,4.5,4.08,4.36,2875400.0,4.2938,0.058264
2017-08-18,4.34,4.38,4.1,4.22,4008200.0,4.1559,-0.032116
2017-08-21,4.2,4.22,4.14,4.14,803000.0,4.0771,-0.018961
2017-08-22,4.12,4.3,4.12,4.16,4393100.0,4.0968,0.004832
2017-08-23,4.16,4.28,4.16,4.26,2834500.0,4.1953,0.024043
2017-08-24,4.24,4.3,4.22,4.24,1044900.0,4.1756,-0.004696
2017-08-25,4.22,4.24,4.18,4.18,426200.0,4.1165,-0.014154
2017-08-28,4.24,4.24,4.24,4.24,122100.0,4.1756,0.014357
2017-08-29,4.24,4.38,4.24,4.3,6844800.0,4.2347,0.014154
2017-08-30,4.28,4.34,4.24,4.26,2038300.0,4.1953,-0.009304
