Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,12.5,12.6,12.3,12.3,1029600.0,5.2704,
2010-01-04,12.4,12.4,12.2,12.3,363100.0,5.2704,0.0
2010-01-05,12.3,12.4,12.2,12.2,1651000.0,5.2276,-0.008121
2010-01-06,12.2,12.3,12.0,12.1,1696400.0,5.1847,-0.008206
2010-01-07,12.0,12.1,12.0,12.0,1308100.0,5.1419,-0.008255
2010-01-08,12.0,12.1,11.7,11.7,2302000.0,5.0134,-0.024991
2010-01-11,11.7,12.0,11.7,12.0,1370200.0,5.1419,0.025631
2010-01-12,12.0,12.1,11.9,11.9,1000400.0,5.099,-0.008343
2010-01-13,11.9,11.9,11.8,11.9,691400.0,5.099,0.0
2010-01-14,12.1,12.1,11.9,11.9,1624800.0,5.099,0.0
2010-01-15,12.0,12.0,11.8,11.9,602600.0,5.099,0.0
2010-01-18,11.9,11.9,11.8,11.8,518400.0,5.0562,-0.008394
2010-01-19,11.8,11.9,11.3,11.3,5532800.0,4.842,-0.042364
2010-01-20,11.3,11.5,11.0,11.2,3361000.0,4.7991,-0.00886
2010-01-21,11.1,11.3,11.0,11.0,1042900.0,4.7134,-0.017858
2010-01-22,10.9,10.9,10.7,10.9,1921800.0,4.6706,-0.00908
2010-01-25,10.8,10.9,10.7,10.7,1041100.0,4.5849,-0.018349
2010-01-26,10.7,10.8,10.4,10.4,1190500.0,4.4563,-0.028049
2010-01-27,10.4,10.6,10.2,10.2,868200.0,4.3706,-0.019231
2010-01-28,10.3,10.4,9.95,10.0,1136000.0,4.2849,-0.019608
2010-01-29,10.0,10.2,9.95,10.2,1317000.0,4.3706,0.02
2010-02-01,10.1,10.4,10.1,10.3,360800.0,4.4135,0.009816
2010-02-02,10.5,10.5,10.3,10.3,390100.0,4.4135,0.0
2010-02-03,10.4,10.6,10.4,10.6,755500.0,4.542,0.029115
2010-02-04,10.4,10.5,10.4,10.4,726000.0,4.4563,-0.018868
2010-02-05,10.1,10.2,10.1,10.2,1200200.0,4.3706,-0.019231
2010-02-08,10.2,10.2,9.95,10.0,1202900.0,4.2849,-0.019608
2010-02-09,10.0,10.1,9.95,10.1,474200.0,4.3278,0.010012
2010-02-10,10.2,10.2,10.1,10.2,387300.0,4.3706,0.00989
2010-02-11,10.2,10.3,10.2,10.3,579100.0,4.4135,0.009816
2010-02-12,10.8,11.2,10.7,11.0,5925000.0,4.7134,0.067951
2010-02-15,11.1,11.3,11.1,11.2,2985800.0,4.7991,0.018182
2010-02-16,11.2,11.4,11.2,11.4,1744100.0,4.8848,0.017858
2010-02-17,11.6,11.8,11.5,11.8,2367700.0,5.0562,0.035088
2010-02-18,11.8,11.8,11.6,11.7,2312700.0,5.0134,-0.008465
2010-02-19,11.6,11.7,11.5,11.7,1635700.0,5.0134,0.0
2010-02-22,11.8,12.0,11.7,12.0,7621800.0,5.1419,0.025631
2010-02-23,10.7,10.9,10.7,10.8,3611400.0,5.0484,-0.018184
2010-02-24,10.7,10.7,10.5,10.6,1114000.0,4.9549,-0.018521
2010-02-25,10.7,10.7,10.5,10.5,948500.0,4.9082,-0.009425
2010-02-26,10.6,10.7,10.5,10.7,988600.0,5.0017,0.01905
2010-03-02,10.7,10.8,10.7,10.7,705100.0,5.0017,0.0
2010-03-03,10.8,10.9,10.7,10.7,1292600.0,5.0017,0.0
2010-03-04,10.7,10.8,10.6,10.7,537200.0,5.0017,0.0
2010-03-05,10.7,10.7,10.5,10.5,1313500.0,4.9082,-0.018694
2010-03-08,10.6,10.6,10.4,10.4,850400.0,4.8614,-0.009535
2010-03-09,10.4,10.5,10.3,10.3,427700.0,4.8147,-0.009606
2010-03-10,10.4,10.5,10.2,10.5,833200.0,4.9082,0.01942
2010-03-11,10.6,10.6,10.5,10.5,907600.0,4.9082,0.0
2010-03-12,10.6,10.6,10.4,10.6,825200.0,4.9549,0.009515
2010-03-15,10.5,10.6,10.4,10.5,344400.0,4.9082,-0.009425
2010-03-16,10.5,10.8,10.5,10.8,1237400.0,5.0484,0.028564
2010-03-17,11.0,11.6,10.9,11.6,4654700.0,5.4224,0.074083
2010-03-18,11.8,12.0,11.5,11.5,4520900.0,5.3756,-0.008631
2010-03-19,11.6,11.9,11.6,11.7,5406000.0,5.4691,0.017393
2010-03-22,11.6,12.1,11.6,11.7,8519000.0,5.4691,0.0
2010-03-23,11.9,12.0,11.7,11.8,4938700.0,5.5159,0.008557
2010-03-24,12.0,12.5,12.0,12.4,13070800.0,5.7963,0.050835
2010-03-25,12.4,12.5,12.1,12.3,6187200.0,5.7496,-0.008057
2010-03-26,12.3,12.3,11.8,11.8,5330100.0,5.5159,-0.040646
2010-03-29,11.8,11.8,11.5,11.6,2759900.0,5.4224,-0.016951
2010-03-30,11.6,11.9,11.6,11.9,994800.0,5.5626,0.025856
2010-03-31,11.9,12.1,11.8,11.8,1954900.0,5.5159,-0.008395
2010-04-01,12.0,12.3,11.9,12.2,6611000.0,5.7028,0.033884
2010-04-02,12.4,12.5,12.1,12.2,2771400.0,5.7028,0.0
2010-04-05,12.0,12.1,11.6,12.1,2782200.0,5.6561,-0.008189
2010-04-07,12.1,12.3,12.0,12.1,3512200.0,5.6561,0.0
2010-04-08,12.0,12.0,11.6,11.8,3207800.0,5.5159,-0.024787
2010-04-09,11.6,11.9,11.6,11.8,1538600.0,5.5159,0.0
2010-04-12,11.0,11.3,10.8,11.2,3727500.0,5.2354,-0.050853
2010-04-16,10.9,11.1,10.6,10.7,2020800.0,5.0017,-0.044638
2010-04-19,10.5,10.6,10.1,10.4,2725000.0,4.8614,-0.02805
2010-04-20,10.6,11.2,10.6,11.2,1902500.0,5.2354,0.076933
2010-04-21,11.1,11.1,10.9,10.9,1441900.0,5.0952,-0.026779
2010-04-22,10.9,11.1,10.9,10.9,1178100.0,5.0952,0.0
2010-04-23,10.7,10.9,10.5,10.8,1053500.0,5.0484,-0.009185
2010-04-26,11.0,11.1,11.0,11.1,1122200.0,5.1886,0.027771
2010-04-27,11.0,11.1,11.0,11.1,687900.0,5.1886,0.0
2010-04-28,10.9,11.0,10.8,10.9,913300.0,5.0952,-0.018001
2010-04-29,11.0,11.0,10.8,10.9,531200.0,5.0952,0.0
2010-04-30,11.0,11.1,11.0,11.1,577300.0,5.1886,0.018331
2010-05-04,11.5,11.8,11.5,11.7,3420200.0,5.4691,0.054061
2010-05-06,11.6,11.7,11.4,11.6,1613200.0,5.4224,-0.008539
2010-05-07,11.4,11.4,11.2,11.4,896200.0,5.3289,-0.017243
2010-05-10,11.2,11.5,11.2,11.4,1273500.0,5.3289,0.0
