Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,6.7,6.7,6.7,6.7,200.0,5.3168,
2010-01-04,6.8,6.8,6.8,6.8,500.0,5.3962,0.014934
2010-01-05,6.7,7.3,6.6,7.3,14000.0,5.793,0.073533
2010-01-06,7.3,7.6,7.1,7.1,2700.0,5.6343,-0.027395
2010-01-07,7.05,7.05,7.05,7.05,500.0,5.5946,-0.007046
2010-01-08,7.5,7.5,7.5,7.5,400.0,5.9517,0.063829
2010-01-11,7.6,7.6,7.5,7.5,1200.0,5.9517,0.0
2010-01-12,7.9,7.9,7.5,7.5,900.0,5.9517,0.0
2010-01-13,7.4,7.9,7.4,7.4,65.0,5.8723,-0.013341
2010-01-14,7.4,7.9,7.4,7.4,0.0,5.8723,0.0
2010-01-15,7.9,8.5,7.9,8.3,3500.0,6.5865,0.121622
2010-01-18,8.2,8.2,8.2,8.2,200.0,6.5072,-0.01204
2010-01-19,8.15,8.15,8.15,8.15,100.0,6.4675,-0.006101
2010-01-20,8.6,8.9,8.6,8.9,2000.0,7.0627,0.092029
2010-01-21,8.6,8.6,8.5,8.5,2000.0,6.7453,-0.04494
2010-01-22,9.3,9.85,9.3,9.5,4400.0,7.5388,0.117637
2010-01-25,9.25,9.3,9.2,9.3,1100.0,7.3801,-0.021051
2010-01-26,9.7,9.75,9.7,9.75,700.0,7.7372,0.048387
2010-01-27,9.45,9.45,8.8,9.0,7400.0,7.142,-0.076927
2010-01-28,9.0,9.0,8.5,8.6,1000.0,6.8246,-0.044441
2010-02-01,7.9,8.5,7.9,8.5,900.0,6.7453,-0.01162
2010-02-03,9.3,9.3,9.0,9.0,800.0,7.142,0.058811
2010-02-04,8.55,8.95,8.55,8.95,400.0,7.1024,-0.005545
2010-02-05,9.0,9.0,9.0,9.0,200.0,7.142,0.005576
2010-02-08,9.1,9.1,9.1,9.1,200.0,7.2214,0.011117
2010-02-09,8.8,9.1,8.8,8.8,0.0,6.9833,-0.032971
2010-02-10,9.25,9.5,9.25,9.5,600.0,7.5388,0.079547
2010-02-11,8.3,9.25,8.3,8.3,0.0,6.5865,-0.12632
2010-02-12,8.4,9.0,8.4,8.4,0.0,6.6659,0.012055
2010-02-15,8.4,9.0,8.4,8.4,0.0,6.6659,0.0
2010-02-16,8.4,9.4,8.4,8.4,0.0,6.6659,0.0
2010-02-17,8.4,8.4,8.4,8.4,100.0,6.6659,0.0
2010-02-18,8.4,9.4,8.4,8.4,0.0,6.6659,0.0
2010-02-19,8.45,8.95,8.25,8.95,2000.0,7.1024,0.065483
2010-02-22,8.8,9.25,8.8,8.8,4800.0,6.9833,-0.016769
2010-02-23,8.8,8.8,8.75,8.75,200.0,6.9436,-0.005685
2010-02-24,8.75,9.2,8.75,8.75,0.0,6.9436,0.0
2010-02-25,9.0,9.3,9.0,9.3,1100.0,7.3801,0.062864
2010-02-26,9.3,10.0,9.05,10.0,10600.0,7.9356,0.07527
2010-03-02,9.55,9.95,9.5,9.5,4900.0,7.5388,-0.050003
2010-03-03,9.5,9.6,9.5,9.6,600.0,7.6182,0.010532
2010-03-04,9.45,9.45,9.3,9.3,1000.0,7.3801,-0.031254
2010-03-05,9.4,9.4,9.4,9.4,200.0,7.4595,0.010759
2010-03-08,9.4,9.5,9.4,9.5,300.0,7.5388,0.010631
2010-03-09,9.5,9.5,9.5,9.5,100.0,7.5388,0.0
2010-03-10,9.5,10.5,9.4,9.55,4000.0,7.5785,0.005266
2010-03-11,9.3,9.6,9.3,9.3,0.0,7.3801,-0.026179
2010-03-12,9.75,9.75,9.55,9.6,2500.0,7.6182,0.032262
2010-03-15,9.3,9.5,9.3,9.3,0.0,7.3801,-0.031254
2010-03-16,9.75,10.7,9.6,9.95,4600.0,7.8959,0.069891
2010-03-17,9.95,10.1,9.95,10.1,296600.0,8.015,0.015084
2010-03-18,10.0,10.0,9.95,10.0,5600.0,7.9356,-0.009906
2010-03-19,9.95,10.0,9.95,9.95,6500.0,7.8959,-0.005003
2010-03-22,9.9,9.9,9.6,9.6,14000.0,7.6182,-0.03517
2010-03-23,9.6,9.85,9.6,9.6,0.0,7.6182,0.0
2010-03-24,9.75,9.75,9.75,9.75,500.0,7.7372,0.01562
2010-03-25,9.75,9.75,9.7,9.7,3100.0,7.6975,-0.005131
2010-03-26,9.7,9.7,9.7,9.7,500.0,7.6975,0.0
2010-03-29,9.8,9.8,9.8,9.8,100.0,7.7769,0.010315
2010-03-30,9.7,9.75,9.7,9.75,3100.0,7.7372,-0.005105
2010-03-31,9.5,9.75,9.5,9.5,0.0,7.5388,-0.025642
2010-04-01,9.7,9.7,9.7,9.7,100.0,7.6975,0.021051
2010-04-02,9.5,9.5,9.5,9.5,200.0,7.5388,-0.020617
2010-04-05,9.55,9.7,9.55,9.55,0.0,7.5785,0.005266
2010-04-07,9.5,9.5,9.5,9.5,300.0,7.5388,-0.005239
2010-04-08,9.7,9.7,9.7,9.7,200.0,7.6975,0.021051
2010-04-09,9.5,9.75,9.5,9.5,24.0,7.5388,-0.020617
2010-04-12,9.7,9.9,9.5,9.8,1500.0,7.7769,0.031583
