Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,0.9252,0.9422,0.9252,0.9337,487738.0,0.7163,
2010-01-04,0.9337,0.9422,0.9252,0.9337,345658.0,0.7163,0.0
2010-01-05,0.9422,0.9761,0.9422,0.9507,6463240.0,0.7294,0.018288
2010-01-06,0.9592,0.9846,0.9507,0.9507,6160583.0,0.7294,0.0
2010-01-07,0.9592,0.9676,0.9507,0.9507,1468988.0,0.7294,0.0
2010-01-08,0.9676,0.9676,0.9507,0.9507,3218955.0,0.7294,0.0
2010-01-11,0.9507,0.9676,0.9337,0.9422,1357538.0,0.7229,-0.008911
2010-01-12,0.9507,0.9676,0.9507,0.9507,3969531.0,0.7294,0.008992
2010-01-13,0.9507,0.9676,0.9507,0.9592,2299557.0,0.7359,0.008911
2010-01-14,0.9592,0.9676,0.9337,0.9337,1255514.0,0.7163,-0.026634
2010-01-15,0.9422,0.9507,0.9337,0.9337,1906421.0,0.7163,0.0
2010-01-18,0.9337,0.9337,0.9337,0.9337,311022.0,0.7163,0.0
2010-01-19,0.9337,0.9507,0.9252,0.9337,1331973.0,0.7163,0.0
2010-01-20,0.9422,0.9507,0.9252,0.9337,2241947.0,0.7163,0.0
2010-01-21,0.9337,0.9337,0.9167,0.9167,1341752.0,0.7033,-0.018149
2010-01-22,0.9167,0.9167,0.8997,0.9082,1064542.0,0.6968,-0.009242
2010-01-25,0.8997,0.8997,0.8913,0.8997,925289.0,0.6903,-0.009328
2010-01-26,0.8997,0.9082,0.8743,0.8743,1516937.0,0.6708,-0.028249
2010-01-27,0.8913,0.8913,0.8573,0.8573,1818887.0,0.6577,-0.019529
2010-01-28,0.8658,0.8743,0.8403,0.8488,1123212.0,0.6512,-0.009883
2010-01-29,0.8658,0.8658,0.8403,0.8488,986669.0,0.6512,0.0
2010-02-01,0.8403,0.8488,0.8403,0.8403,516956.0,0.6447,-0.009982
2010-02-02,0.8573,0.8573,0.8403,0.8403,525438.0,0.6447,0.0
2010-02-03,0.8573,0.8573,0.8488,0.8573,589056.0,0.6577,0.020164
2010-02-04,0.8573,0.8658,0.8488,0.8488,137839.0,0.6512,-0.009883
2010-02-05,0.8234,0.8403,0.8234,0.8403,205581.0,0.6447,-0.009982
2010-02-08,0.8403,0.8488,0.8403,0.8403,84824.0,0.6447,0.0
2010-02-09,0.8403,0.8488,0.8403,0.8403,202635.0,0.6447,0.0
