Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,0.5813,0.5867,0.5813,0.5867,661500.0,0.2355,
2010-01-04,0.5867,0.5867,0.5813,0.5813,292875.0,0.2334,-0.008917
2010-01-05,0.576,0.576,0.576,0.576,55875.0,0.2312,-0.009426
2010-01-06,0.5867,0.5867,0.576,0.5867,83625.0,0.2355,0.018599
2010-01-07,0.5813,0.6027,0.576,0.576,3944250.0,0.2312,-0.018259
2010-01-08,0.5813,0.5867,0.576,0.5867,187125.0,0.2355,0.018599
2010-01-11,0.5813,0.5813,0.576,0.5813,151125.0,0.2334,-0.008917
2010-01-12,0.5813,0.5973,0.576,0.576,3038625.0,0.2312,-0.009426
2010-01-13,0.5867,0.5867,0.576,0.576,639000.0,0.2312,0.0
2010-01-14,0.5867,0.592,0.5813,0.5813,2850750.0,0.2334,0.009516
2010-01-15,0.5867,0.5867,0.576,0.576,652875.0,0.2312,-0.009426
2010-01-18,0.5867,0.592,0.576,0.576,4786500.0,0.2312,0.0
2010-01-19,0.592,0.592,0.576,0.5867,1225875.0,0.2355,0.018599
2010-01-20,0.5867,0.5867,0.5707,0.576,1239750.0,0.2312,-0.018259
2010-01-21,0.5813,0.5813,0.576,0.576,1279125.0,0.2312,0.0
2010-01-22,0.5707,0.576,0.5707,0.5707,396375.0,0.2291,-0.009083
2010-01-25,0.56,0.5653,0.5547,0.56,834375.0,0.2248,-0.018769
2010-01-26,0.5653,0.5707,0.56,0.56,61875.0,0.2248,0.0
2010-01-27,0.5547,0.5547,0.5493,0.5547,1134750.0,0.2227,-0.009342
2010-01-28,0.56,0.56,0.5333,0.56,1005375.0,0.2248,0.00943
2010-01-29,0.5333,0.5547,0.5333,0.5333,4.0,0.2141,-0.047598
2010-02-01,0.544,0.56,0.544,0.56,58500.0,0.2248,0.049977
2010-02-02,0.544,0.56,0.544,0.56,74625.0,0.2248,0.0
2010-02-03,0.544,0.5547,0.5387,0.544,169125.0,0.2184,-0.02847
2010-02-04,0.5493,0.5493,0.5387,0.5387,182250.0,0.2163,-0.009615
2010-02-05,0.5493,0.5547,0.544,0.5493,97125.0,0.2205,0.019417
2010-02-08,0.5493,0.5493,0.5387,0.5493,129375.0,0.2205,0.0
2010-02-09,0.5387,0.576,0.5387,0.5493,259500.0,0.2205,0.0
2010-02-10,0.56,0.56,0.5547,0.56,6000.0,0.2248,0.019501
2010-02-11,1.088,1.1093,1.088,1.088,0.0,0.4368,0.94306
2010-02-12,0.5547,0.5547,0.5387,0.5387,218250.0,0.2163,-0.504808
2010-02-15,0.5493,0.5493,0.544,0.544,1875.0,0.2184,0.009709
2010-02-16,0.5493,0.5493,0.5493,0.5493,750.0,0.2205,0.009615
2010-02-17,0.5547,0.5547,0.544,0.5493,77625.0,0.2205,0.0
2010-02-18,0.544,0.5493,0.544,0.544,56625.0,0.2184,-0.009524
2010-02-19,0.5547,0.5547,0.5547,0.5547,750.0,0.2227,0.019689
2010-02-22,0.5493,0.5493,0.544,0.5493,38250.0,0.2205,-0.009879
2010-02-23,0.5387,0.5493,0.5387,0.5387,482625.0,0.2163,-0.019048
2010-02-24,0.5547,0.5547,0.528,0.528,1015500.0,0.212,-0.01988
2010-02-25,0.5493,0.5493,0.5173,0.52,1278000.0,0.2088,-0.015094
2010-02-26,0.5493,0.5493,0.5253,0.5253,147000.0,0.2109,0.010057
2010-03-02,0.5253,0.5547,0.5253,0.5547,13500.0,0.2227,0.055951
2010-03-03,0.5547,0.5547,0.544,0.544,652500.0,0.2184,-0.019308
2010-03-04,0.5493,0.5547,0.544,0.5493,114000.0,0.2205,0.009615
2010-03-05,0.5493,0.5547,0.544,0.5493,336000.0,0.2205,0.0
2010-03-08,0.5493,0.5547,0.5493,0.5547,75375.0,0.2227,0.009977
2010-03-09,0.5547,0.5547,0.544,0.5547,333375.0,0.2227,0.0
2010-03-10,0.5147,0.5173,0.5147,0.5173,51000.0,0.2681,0.203862
2010-03-11,0.5173,0.52,0.5147,0.52,15750.0,0.2695,0.005222
2010-03-12,0.52,0.5333,0.52,0.5227,69000.0,0.2709,0.005195
2010-03-15,0.5333,0.5333,0.52,0.5333,4500.0,0.2764,0.020303
2010-03-16,0.5333,0.5333,0.5227,0.5253,308250.0,0.2723,-0.014834
2010-03-17,0.528,0.528,0.5227,0.528,246000.0,0.2736,0.004774
2010-03-18,0.5253,0.528,0.5253,0.528,62625.0,0.2736,0.0
2010-03-19,0.528,0.544,0.528,0.544,76500.0,0.2819,0.030336
2010-03-22,0.5333,0.5387,0.5227,0.5333,628500.0,0.2764,-0.01951
2010-03-23,0.5307,0.5307,0.5253,0.5253,132375.0,0.2723,-0.014834
2010-03-24,0.528,0.528,0.5253,0.5253,255375.0,0.2723,0.0
2010-03-25,0.528,0.5387,0.528,0.5333,995250.0,0.2764,0.015057
2010-03-26,0.528,0.528,0.52,0.52,478500.0,0.2695,-0.024964
2010-03-29,0.5307,0.5307,0.5147,0.5307,117000.0,0.275,0.020408
2010-03-30,0.52,0.5333,0.52,0.5333,2250.0,0.2764,0.005091
2010-03-31,0.52,0.5307,0.52,0.5307,143250.0,0.275,-0.005065
2010-04-01,0.528,0.5333,0.528,0.528,174000.0,0.2736,-0.005091
2010-04-02,0.5227,0.528,0.5227,0.5227,20250.0,0.2709,-0.009868
2010-04-05,0.5227,0.5333,0.52,0.5333,21000.0,0.2764,0.020303
2010-04-07,0.52,0.52,0.52,0.52,20625.0,0.2695,-0.024964
2010-04-08,0.5227,0.5227,0.5173,0.52,108000.0,0.2695,0.0
2010-04-09,0.5307,0.5307,0.5067,0.5147,583875.0,0.2667,-0.01039
2010-04-12,0.528,0.528,0.4933,0.52,132375.0,0.2695,0.010499
2010-04-16,1.0133,1.04,1.0133,1.0133,0.0,0.5252,0.948794
2010-04-19,0.5067,0.5333,0.4907,0.5333,763500.0,0.2764,-0.473724
2010-04-20,0.496,0.52,0.4907,0.5173,440250.0,0.2681,-0.030029
2010-04-21,0.5253,0.5253,0.512,0.5253,116250.0,0.2723,0.015666
2010-04-22,0.5173,0.5173,0.5067,0.5173,116625.0,0.2681,-0.015424
2010-04-23,0.5227,0.5253,0.5067,0.5067,63000.0,0.2626,-0.020515
2010-04-26,0.5253,0.5253,0.52,0.52,1125.0,0.2695,0.026276
2010-04-27,0.496,0.52,0.496,0.5067,110625.0,0.2626,-0.025603
2010-04-28,0.5173,0.5173,0.5093,0.5173,2250.0,0.2681,0.020944
2010-04-29,1.0133,1.0347,1.0133,1.0133,0.0,0.5252,0.958971
2010-04-30,0.5067,0.5067,0.504,0.504,256500.0,0.2612,-0.502666
2010-05-04,0.5173,0.5333,0.5067,0.5253,310125.0,0.2723,0.042496
2010-05-06,1.0133,1.04,1.0133,1.0133,0.0,0.5252,0.928755
2010-05-07,0.5307,0.5307,0.528,0.528,3750.0,0.2736,-0.479056
2010-05-10,0.4933,0.5093,0.4933,0.496,1617000.0,0.2571,-0.060307
2010-05-11,0.5173,0.52,0.4987,0.512,395625.0,0.2654,0.032283
2010-05-12,0.512,0.5147,0.512,0.5147,4125.0,0.2667,0.004898
2010-05-13,0.504,0.5147,0.504,0.5147,37125.0,0.2667,0.0
2010-05-14,0.9707,1.0187,0.9707,0.9707,0.0,0.5031,0.886389
2010-05-17,0.9227,1.0293,0.9227,0.9227,0.0,0.4782,-0.049493
2010-05-18,0.496,0.5013,0.496,0.5013,334125.0,0.2598,-0.456713
2010-05-19,0.4987,0.5147,0.496,0.512,337875.0,0.2654,0.021555
2010-05-24,0.48,0.52,0.48,0.52,7500.0,0.2695,0.015448
2010-05-25,0.496,0.5173,0.496,0.5173,19125.0,0.2681,-0.005195
2010-05-26,0.9707,1.0133,0.9707,0.9707,0.0,0.5031,0.876539
2010-05-27,0.5147,0.5147,0.5093,0.512,9000.0,0.2654,-0.472471
2010-05-31,0.4933,0.5093,0.4933,0.496,156000.0,0.2571,-0.031274
2010-06-01,0.5093,0.5093,0.488,0.488,531375.0,0.2529,-0.016336
2010-06-02,0.5067,0.512,0.5013,0.5067,416250.0,0.2626,0.038355
2010-06-03,0.5067,0.512,0.4907,0.4987,560625.0,0.2584,-0.015994
2010-06-04,0.5093,0.5093,0.4987,0.4987,133125.0,0.2584,0.0
2010-06-07,0.5067,0.5307,0.4987,0.4987,1119375.0,0.2584,0.0
2010-06-08,0.5147,0.5307,0.4987,0.5067,1127625.0,0.2626,0.016254
2010-06-09,0.512,0.5147,0.4933,0.5093,543750.0,0.264,0.005331
2010-06-10,0.5093,0.5093,0.5013,0.5093,257625.0,0.264,0.0
2010-06-11,0.512,0.512,0.504,0.504,48000.0,0.2612,-0.010606
2010-06-14,0.512,0.5173,0.5013,0.5013,237000.0,0.2598,-0.00536
2010-06-15,0.5173,0.5173,0.4987,0.5147,84000.0,0.2667,0.026559
2010-06-16,0.5093,0.5173,0.5093,0.5173,9375.0,0.2681,0.005249
2010-06-17,0.5173,0.5173,0.5173,0.5173,3750.0,0.2681,0.0
2010-06-18,0.504,0.52,0.504,0.52,1875.0,0.2695,0.005222
