Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,20.0,20.0,19.8,19.8,25300.0,12.8933,
2010-01-04,19.9,19.9,19.5,19.9,25100.0,12.9585,0.005057
2010-01-05,19.7,19.8,19.3,19.5,175100.0,12.698,-0.020103
2010-01-06,19.6,19.6,19.5,19.6,8100.0,12.7631,0.005127
2010-01-07,19.7,20.2,19.7,20.1,805700.0,13.0887,0.025511
2010-01-08,20.1,20.9,20.0,20.9,433500.0,13.6096,0.039798
2010-01-11,21.0,21.3,20.6,21.0,171300.0,13.6748,0.004791
2010-01-12,20.7,20.9,20.5,20.9,43800.0,13.6096,-0.004768
2010-01-13,20.7,20.9,20.5,20.5,50400.0,13.3492,-0.019134
2010-01-14,20.5,20.6,20.4,20.4,26300.0,13.2841,-0.004877
2010-01-15,20.5,20.6,19.9,20.4,147800.0,13.2841,0.0
2010-01-18,20.1,20.4,20.1,20.4,54000.0,13.2841,0.0
2010-01-19,20.4,20.4,19.9,20.0,76100.0,13.0236,-0.01961
2010-01-20,20.1,20.2,19.9,19.9,86700.0,12.9585,-0.004999
2010-01-21,19.8,20.1,19.8,20.1,82600.0,13.0887,0.010047
2010-01-22,19.7,20.0,19.7,20.0,35500.0,13.0236,-0.004974
2010-01-25,19.9,20.0,19.9,20.0,43000.0,13.0236,0.0
2010-01-26,20.0,20.0,19.7,19.7,92400.0,12.8282,-0.015004
2010-01-27,19.8,19.8,19.5,19.6,42300.0,12.7631,-0.005075
2010-01-28,19.7,19.7,19.5,19.6,9000.0,12.7631,0.0
2010-01-29,19.4,19.6,19.3,19.6,36500.0,12.7631,0.0
2010-02-01,19.6,19.7,19.4,19.6,7600.0,12.7631,0.0
2010-02-02,19.6,19.6,19.5,19.5,40600.0,12.698,-0.005101
2010-02-03,19.6,20.2,19.6,20.2,374900.0,13.1538,0.035895
2010-02-04,20.1,20.5,19.9,20.4,144900.0,13.2841,0.009906
2010-02-05,20.2,20.2,20.0,20.2,126700.0,13.1538,-0.009809
2010-02-08,20.2,20.2,19.8,20.2,57000.0,13.1538,0.0
2010-02-09,20.1,20.1,20.0,20.1,5800.0,13.0887,-0.004949
2010-02-10,20.2,20.3,20.1,20.2,52500.0,13.1538,0.004974
2010-02-11,20.2,20.3,20.1,20.2,29300.0,13.1538,0.0
2010-02-12,20.2,20.3,20.1,20.3,8400.0,13.2189,0.004949
2010-02-15,20.3,20.3,20.0,20.0,53700.0,13.0236,-0.014774
2010-02-16,20.0,20.2,20.0,20.2,400.0,13.1538,0.009997
2010-02-17,20.0,20.3,20.0,20.2,53400.0,13.1538,0.0
2010-02-18,20.2,20.4,20.2,20.4,3900.0,13.2841,0.009906
2010-02-19,20.2,20.5,20.1,20.5,68000.0,13.3492,0.004901
2010-02-22,20.4,20.7,20.4,20.6,141300.0,13.4143,0.004877
2010-02-23,20.6,20.7,20.4,20.5,88600.0,13.3492,-0.004853
2010-02-24,20.5,20.8,20.5,20.8,139200.0,13.5445,0.01463
