Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,1.1327,1.1983,1.1327,1.1608,22642741.0,1.0935,
2010-01-04,1.1608,1.1608,1.1047,1.1234,6426458.0,1.0582,-0.032282
2010-01-05,1.1327,1.1515,1.114,1.114,3287309.0,1.0494,-0.008316
2010-01-06,1.1234,1.1608,1.1234,1.1327,9184256.0,1.0671,0.016867
2010-01-07,1.1421,1.1702,1.1234,1.1327,12299690.0,1.0671,0.0
2010-01-08,1.1421,1.1515,1.1234,1.1234,2769014.0,1.0582,-0.00834
2010-01-11,1.1327,1.1421,1.1234,1.1327,588797.0,1.0671,0.008411
2010-01-12,1.1327,1.1515,1.1327,1.1421,1763508.0,1.0759,0.008247
2010-01-13,1.1421,1.1608,1.1327,1.1421,3127078.0,1.0759,0.0
2010-01-14,1.1515,1.1515,1.1234,1.1234,1819268.0,1.0582,-0.016451
2010-01-15,1.1327,1.1515,1.114,1.1234,2495873.0,1.0582,0.0
2010-01-18,1.1327,1.1327,1.1234,1.1234,531221.0,1.0582,0.0
2010-01-19,1.1234,1.1327,1.0953,1.0953,2000437.0,1.0318,-0.024948
2010-01-20,1.114,1.1234,1.0766,1.1047,1601567.0,1.0406,0.008529
2010-01-21,1.1047,1.1234,1.0766,1.0766,2268878.0,1.0142,-0.02537
2010-01-22,1.0766,1.0766,1.0485,1.0766,479199.0,1.0142,0.0
2010-01-25,1.0672,1.0859,1.0672,1.0672,329863.0,1.0053,-0.008775
2010-01-26,1.0672,1.0859,1.0578,1.0672,965769.0,1.0053,0.0
2010-01-27,1.0672,1.0766,1.0298,1.0391,389897.0,0.9789,-0.026261
2010-01-28,1.0298,1.0578,1.011,1.011,645626.0,0.9524,-0.027071
2010-01-29,1.0204,1.0298,1.0017,1.0204,133419.0,0.9612,0.00924
2010-02-01,1.0204,1.0485,1.0204,1.0391,423545.0,0.9789,0.018414
2010-02-02,1.0485,1.0485,1.011,1.0298,724353.0,0.9701,-0.00899
2010-02-03,1.0298,1.0485,1.0298,1.0391,1255681.0,0.9789,0.009071
2010-02-04,1.0391,1.0578,1.0391,1.0485,753302.0,0.9877,0.00899
2010-02-05,1.0391,1.0391,1.011,1.0204,550128.0,0.9612,-0.02683
2010-02-08,1.0204,1.0204,1.011,1.0204,118358.0,0.9612,0.0
2010-02-09,1.0204,1.0298,1.0017,1.0298,265450.0,0.9701,0.009259
2010-02-10,1.0298,1.0391,0.9829,0.9923,685043.0,0.9348,-0.036388
2010-02-11,0.9923,1.0017,0.9923,0.9923,303585.0,0.9348,0.0
2010-02-12,1.0017,1.011,0.9829,1.0017,592002.0,0.9436,0.009414
2010-02-15,0.9923,1.0017,0.9736,0.9736,294185.0,0.9172,-0.027978
2010-02-16,0.9736,1.0578,0.9642,1.0485,6509244.0,0.9877,0.076864
2010-02-17,1.0578,1.0766,1.0204,1.0204,7725722.0,0.9612,-0.02683
2010-02-18,1.0298,1.0391,1.0017,1.011,1584690.0,0.9524,-0.009155
2010-02-19,1.011,1.0204,1.0017,1.011,346421.0,0.9524,0.0
2010-02-22,1.011,1.0298,1.0017,1.011,944404.0,0.9524,0.0
2010-02-23,1.0204,1.0391,1.011,1.0204,950707.0,0.9612,0.00924
2010-02-24,1.0204,1.0298,1.0017,1.011,447473.0,0.9524,-0.009155
2010-02-25,1.0204,1.0298,1.0017,1.0017,686859.0,0.9436,-0.00924
2010-02-26,1.0204,1.0204,1.011,1.011,473217.0,0.9524,0.009326
2010-03-02,1.0204,1.0298,1.011,1.0204,687714.0,0.9612,0.00924
2010-03-03,1.0204,1.0391,1.0204,1.0298,1223528.0,0.9701,0.009259
2010-03-04,1.0298,1.0485,1.0204,1.0391,769111.0,0.9789,0.009071
