Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,9.95,9.95,9.95,9.95,0.0,6.2023,
2010-01-04,9.95,9.95,9.95,9.95,0.0,6.2023,0.0
2010-01-05,9.95,9.95,9.95,9.95,0.0,6.2023,0.0
2010-01-06,9.95,9.95,9.95,9.95,0.0,6.2023,0.0
2010-01-07,9.95,9.95,9.95,9.95,0.0,6.2023,0.0
2010-01-08,9.95,9.95,9.95,9.95,0.0,6.2023,0.0
2010-01-11,9.95,9.95,9.95,9.95,0.0,6.2023,0.0
2010-01-12,7.15,9.95,7.15,7.15,0.0,4.457,-0.281396
2010-01-13,7.85,9.95,7.85,7.85,0.0,4.8933,0.097891
2010-01-14,9.9,9.9,9.9,9.9,100.0,6.1712,0.261153
2010-01-15,7.35,9.95,7.35,7.35,0.0,4.5816,-0.257584
2010-01-18,9.5,9.5,9.5,9.5,4000.0,5.9218,0.292518
2010-01-19,9.5,10.0,9.5,10.0,6300.0,6.2335,0.052636
2010-01-21,7.35,10.0,7.35,7.35,0.0,4.5816,-0.265004
2010-01-22,7.25,10.0,7.25,7.25,0.0,4.5193,-0.013598
2010-01-25,7.35,9.8,7.35,7.35,0.0,4.5816,0.013785
2010-01-26,7.55,9.6,7.55,7.55,0.0,4.7063,0.027218
2010-01-27,7.55,9.55,7.55,7.55,0.0,4.7063,0.0
2010-01-28,8.6,9.8,8.6,8.6,0.0,5.3608,0.139069
2010-01-29,8.7,9.7,8.7,8.7,0.0,5.4231,0.011621
2010-02-01,7.35,9.7,7.35,7.35,0.0,4.5816,-0.15517
2010-02-03,9.5,9.5,9.5,9.5,100.0,5.9218,0.292518
2010-02-04,8.5,9.5,8.5,8.5,0.0,5.2985,-0.105255
2010-02-05,9.45,10.0,9.0,10.0,5900.0,6.2335,0.176465
2010-02-08,9.7,9.7,9.7,9.7,100.0,6.0465,-0.029999
2010-02-09,9.5,9.7,9.5,9.5,0.0,5.9218,-0.020624
2010-02-10,9.5,9.5,9.45,9.45,300.0,5.8907,-0.005252
2010-02-11,9.15,9.15,9.0,9.0,1400.0,5.6101,-0.047634
2010-02-12,9.0,10.0,9.0,9.0,0.0,5.6101,0.0
2010-02-15,9.0,9.5,9.0,9.0,0.0,5.6101,0.0
2010-02-16,9.0,9.5,9.0,9.0,0.0,5.6101,0.0
2010-02-17,9.0,9.15,9.0,9.0,0.0,5.6101,0.0
2010-02-18,9.0,9.5,9.0,9.0,0.0,5.6101,0.0
2010-02-19,9.0,10.0,9.0,9.0,0.0,5.6101,0.0
2010-02-22,7.05,10.0,7.05,7.05,0.0,4.3946,-0.216663
2010-02-23,7.15,9.2,7.15,7.15,0.0,4.457,0.014199
2010-02-24,7.55,10.0,7.55,7.55,0.0,4.7063,0.055934
2010-02-25,7.15,9.95,7.15,7.15,0.0,4.457,-0.052972
2010-02-26,8.9,10.0,8.9,8.9,0.0,5.5478,0.244739
2010-03-02,7.15,9.5,7.15,7.15,0.0,4.457,-0.196618
2010-03-03,9.0,9.0,9.0,9.0,1000.0,5.6101,0.258717
2010-03-04,7.55,10.0,7.55,7.55,0.0,4.7063,-0.161102
2010-03-05,7.45,10.0,7.45,7.45,0.0,4.644,-0.013238
2010-03-08,8.5,10.0,8.5,8.5,0.0,5.2985,0.140935
2010-03-09,7.35,10.0,7.35,7.35,0.0,4.5816,-0.135302
2010-03-10,8.6,10.0,8.6,8.6,0.0,5.3608,0.170072
2010-03-11,9.0,9.0,9.0,9.0,1000.0,5.6101,0.046504
2010-03-12,8.95,8.95,8.95,8.95,3200.0,5.579,-0.005544
2010-03-15,8.5,9.5,8.5,8.5,0.0,5.2985,-0.050278
2010-03-16,9.5,9.5,9.5,9.5,500.0,5.9218,0.117637
2010-03-17,9.5,9.5,9.5,9.5,500.0,5.9218,0.0
2010-03-18,9.0,9.6,9.0,9.0,0.0,5.6101,-0.052636
2010-03-19,9.0,9.5,9.0,9.0,0.0,5.6101,0.0
2010-03-22,9.5,9.5,9.5,9.5,500.0,5.9218,0.055561
2010-03-23,9.0,10.0,9.0,9.0,0.0,5.6101,-0.052636
2010-03-24,9.6,9.6,9.6,9.6,100.0,5.9842,0.066683
2010-03-25,9.75,9.8,9.75,9.8,400.0,6.1088,0.020821
