Date,Open,High,Low,Close,Volume,Adj Close,Return
2015-07-28,4.9,5.5,3.66,3.84,838222300.0,3.4965,
2015-07-29,3.96,4.04,2.98,3.12,407826000.0,2.8409,-0.187502
2015-07-31,3.12,3.42,3.06,3.08,376025000.0,2.8045,-0.012813
2015-08-03,3.06,3.26,3.06,3.26,166844800.0,2.9684,0.058442
2015-08-04,3.36,4.0,3.34,3.74,660746600.0,3.4055,0.147251
2015-08-05,3.72,3.84,3.32,3.32,138974000.0,3.023,-0.112318
2015-08-06,3.4,3.56,3.36,3.46,107514500.0,3.1505,0.042177
2015-08-07,3.42,3.46,3.26,3.32,41271800.0,3.023,-0.04047
2015-08-10,3.36,3.48,3.24,3.24,56863400.0,2.9502,-0.024082
2015-08-11,3.28,3.36,3.06,3.08,54222800.0,2.8045,-0.049386
2015-08-13,3.0,3.02,2.84,2.92,28300500.0,2.6588,-0.051952
2015-08-14,2.98,3.32,2.96,3.22,163146600.0,2.932,0.102753
2015-08-17,3.1,3.18,3.0,3.04,48999300.0,2.7681,-0.0559
2015-08-18,2.94,3.1,2.88,2.94,45255200.0,2.677,-0.032911
2015-08-19,3.02,3.12,2.98,3.04,53664100.0,2.7681,0.034031
2015-08-20,3.08,3.14,3.04,3.04,25460400.0,2.7681,0.0
2015-08-21,3.04,3.12,2.96,2.96,26200900.0,2.6952,-0.026336
2015-08-24,2.92,2.94,2.46,2.46,19629400.0,2.24,-0.168893
2015-08-25,2.6,2.66,2.4,2.6,57693600.0,2.3674,0.056875
2015-08-26,2.58,2.7,2.54,2.54,32274600.0,2.3128,-0.023063
2015-08-27,2.6,2.62,2.54,2.56,10836300.0,2.331,0.007869
2015-08-28,2.6,2.68,2.52,2.54,23955500.0,2.3128,-0.007808
2015-08-31,2.56,2.62,2.54,2.56,6322300.0,2.331,0.007869
2015-09-01,2.6,2.9,2.56,2.68,90540900.0,2.4403,0.04689
2015-09-02,2.7,2.82,2.68,2.82,48186000.0,2.5678,0.052248
2015-09-03,2.9,2.94,2.76,2.78,38866000.0,2.5313,-0.014215
2015-09-04,2.76,2.78,2.64,2.64,13235700.0,2.4039,-0.05033
2015-09-07,2.66,2.74,2.64,2.7,6547200.0,2.4585,0.022713
2015-09-08,2.72,2.82,2.66,2.82,20999100.0,2.5678,0.044458
2015-09-09,2.9,2.92,2.8,2.84,30980000.0,2.586,0.007088
2015-09-10,2.84,3.1,2.84,3.1,116754000.0,2.8227,0.091531
2015-09-11,3.1,3.16,2.92,2.94,63471400.0,2.677,-0.051617
2015-09-14,2.96,3.02,2.9,2.92,17804200.0,2.6588,-0.006799
2015-09-15,2.94,2.96,2.82,2.86,11062400.0,2.6042,-0.020536
2015-09-16,2.88,2.9,2.78,2.84,14849600.0,2.586,-0.006989
2015-09-17,2.88,3.0,2.88,2.88,37258200.0,2.6224,0.014076
2015-09-18,2.92,2.94,2.84,2.86,11197200.0,2.6042,-0.00694
2015-09-21,2.84,2.9,2.82,2.86,5034500.0,2.6042,0.0
2015-09-22,2.88,2.9,2.8,2.8,4624600.0,2.5496,-0.020966
2015-09-23,2.8,2.84,2.78,2.82,3189900.0,2.5678,0.007138
2015-09-24,2.82,2.82,2.76,2.76,4326300.0,2.5131,-0.021302
2015-09-25,2.76,2.78,2.74,2.74,1835600.0,2.4949,-0.007242
2015-09-28,2.76,2.76,2.62,2.64,3251100.0,2.4039,-0.036474
2015-09-29,2.6,2.66,2.56,2.62,5412900.0,2.3857,-0.007571
2015-09-30,2.64,2.78,2.62,2.66,17934300.0,2.4221,0.015258
2015-10-01,2.66,2.7,2.54,2.58,6653200.0,2.3492,-0.030098
